tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
99,5/31/2023,AKI,Rupiah,1,23-May,231,11120 - AKI,CASH & CASH EQUIVALENTS : CASH : Petty Cash Kecil - Management,9711849.00,0
99,5/31/2023,AKI,Rupiah,1,23-May,247,11210 - AKI,CASH & CASH EQUIVALENTS : BANK : Bank CIMB Niaga IDR,136151813,0
99,5/31/2023,AKI,Rupiah,1,23-May,727,11220 - AKI,CASH & CASH EQUIVALENTS : BANK : Bank BCA IDR - AKI,1414429926,0
99,5/31/2023,AKI,Rupiah,1,23-May,250,11240 - AKI,CASH & CASH EQUIVALENTS : BANK : Bank Danamon IDR,70689842,0
99,5/31/2023,AKI,Rupiah,1,23-May,541,13000,OTHERS RECEIVABLE,458041,0
99,5/31/2023,AKI,Rupiah,1,23-May,544,13033,OTHERS RECEIVABLE : Others Receivable - Karya Seru Bersama,1327500,0
99,5/31/2023,AKI,Rupiah,1,23-May,547,13066,OTHERS RECEIVABLE : Others Receivable - Roda Cepat Indonesia,46034158,0
99,5/31/2023,AKI,Rupiah,1,23-May,552,13121,OTHERS RECEIVABLE : Others Receivable - Menjadi Manusia,28404164,0
99,5/31/2023,AKI,Rupiah,1,23-May,554,13143,OTHERS RECEIVABLE : Others Receivable - Mitra Maha Beta,3121580,0
99,5/31/2023,AKI,Rupiah,1,23-May,556,13165,OTHERS RECEIVABLE : Others Receivable - Jingga Kreasi Multiguna,10751177,0
99,5/31/2023,AKI,Rupiah,1,23-May,835,121201,OTHERS RECEIVABLE : Others Receivable - Demi Industri Kreatif,347845,0
99,5/31/2023,AKI,Rupiah,1,23-May,836,121202,OTHERS RECEIVABLE : Others Receivable - Matahari Terbit Kreatif,347850,0
99,5/31/2023,AKI,Rupiah,1,23-May,837,121203,OTHERS RECEIVABLE : Others Receivable - Jagad Kreatif Indonesia,8678250,0
99,5/31/2023,AKI,Rupiah,1,23-May,838,121204,OTHERS RECEIVABLE : Others Receivable - Paksya Aktif Indonesia,125827420,0
99,5/31/2023,AKI,Rupiah,1,23-May,839,121205,OTHERS RECEIVABLE : Others Receivable - Finch Kreatif Indonesia,8265823,0
99,5/31/2023,AKI,Rupiah,1,23-May,840,121206,OTHERS RECEIVABLE : Others Receivable - Maleo Kreatif Indonesia,347845,0
99,5/31/2023,AKI,Rupiah,1,23-May,841,121207,OTHERS RECEIVABLE : Others Receivable - Setinggi Langit Kreafit Indonesia,1215217,0
99,5/31/2023,AKI,Rupiah,1,23-May,842,121208,OTHERS RECEIVABLE : Others Receivable - Lonjakan Kreatif Indonesia,1675571,0
