tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,232,11120 - FINCH,CASH & CASH EQUIVALENTS : CASH : Petty Cash Kecil - IDR,103927800,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,251,11210 - FINCH,CASH & CASH EQUIVALENTS : BANK : Bank CIMB Niaga - IDR,66839581,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,252,11220 - FINCH,CASH & CASH EQUIVALENTS : BANK : Bank BCA - IDR,1178868906,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,251,11210 - FINCH,CASH & CASH EQUIVALENTS : BANK : Bank CIMB Niaga - IDR,0,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,254,11240 - FINCH,CASH & CASH EQUIVALENTS : BANK : Bank Mandiri IDR,51310937,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,728,11250 - FINCH,CASH & CASH EQUIVALENTS : BANK : Bank Danamon IDR - FINCH,160131116,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,275,11302 - FINCH,CASH & CASH EQUIVALENTS : BANK : Deposito Danamon (IDR),50000000,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,735,11304 - FINCH,CASH & CASH EQUIVALENTS : BANK : Deposito BCA  - FINCH,8000000,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,538,12011,RECEIVABLES : Work In Progress,59433640,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,547,13066,OTHERS RECEIVABLE : Others Receivable - Roda Cepat Indonesia,46991977,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,846,121212,OTHERS RECEIVABLE : Others Receivable - Angkasa,268097411,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,837,121203,OTHERS RECEIVABLE : Others Receivable - Jagad Kreatif Indonesia,1416667,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,835,121201,OTHERS RECEIVABLE : Others Receivable - Demi Industri Kreatif,7500,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,838,121204,OTHERS RECEIVABLE : Others Receivable - Paksya Aktif Indonesia,6719250,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,847,121213,OTHERS RECEIVABLE : Others Receivable - TAKA,311667,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,598,13140,Deposit Rent,254832100,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,599,13150,Deposit Aqua,600000,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,563,14022,ADVANCE : Advance - Employee,794000,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,562,14011,ADVANCE : Advance - Operasional,360000,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,571,14110,ADVANCE : Advance CC BCA MELAN RENA 17343224,100153935,0
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,978,14230,ADVANCE : Advance CC BCA LEMBU 18500959,0,4549867
FINCH-TB MEI 2023,5/31/2023,FINCH,Rupiah,1,23-May,585,16311,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 23,227805476,0
