tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,265,11210 - HUDHUD,CASH & CASH EQUIVALENTS : BANK : Bank BNI,6224818,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,730,11220 - HUDHUD,CASH & CASH EQUIVALENTS : BANK : Bank BCA (IDR) - HUDHUD,4002778666,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,267,11230 - HUDHUD,CASH & CASH EQUIVALENTS : BANK : Bank Mandiri Syariah (IDR),35978074,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,538,12011,RECEIVABLES : Work In Progress,1492399570,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,541,13000,OTHERS RECEIVABLE,2242550,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,846,121212,OTHERS RECEIVABLE : Others Receivable - Angkasa,760000,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,847,121213,OTHERS RECEIVABLE : Others Receivable - TAKA,8658452,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,564,14033,ADVANCE : Advance - Project,77536600,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,563,14022,ADVANCE : Advance - Employee,7880826,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,562,14011,ADVANCE : Advance - Operasional,104513100,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,578,14187,ADVANCE : Advance CC BCA MELAN RENA,5920265,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,579,14198,ADVANCE : Advance CC BCA RAMA HERNIAWAN,7356718,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,585,16311,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 23,651767770,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,586,16322,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 25,15265744,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,590,16366,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 28 a,625108778,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,591,16377,PREPAID EXPENSES : PREPAID EXPENSES TAXES : PPN MASUKAN,110055852,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,767,16130,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Parking,12716667,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,768,16140,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Insurance,12737203,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,769,16150,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Others,738801572,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,375,18203,INVESTMENT : Deffered Tax Asset,146641123,0
HUDHUD-TB MEI 2023,5/31/2023,HUDHUD,IDR,1,23-May,386,17122,FIXED ASSETS : Asset : Furniture - Asset - 8 years,24484893,0
