tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,742,11220 - TAKA,CASH & CASH EQUIVALENTS : BANK : Bank BCA (IDR) - TAKA,563093502,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,538,12011,RECEIVABLES : Work In Progress,14051282,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,1489,121217,OTHERS RECEIVABLE : Others Receivable - Rovers,3492538,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,848,121214,OTHERS RECEIVABLE : Others Receivable - Langit Muda Kreatif,2245431,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,560,13209,OTHERS RECEIVABLE : Others Receivable - Ujung-Ujungnya Dangdut,1829513,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,544,13033,OTHERS RECEIVABLE : Others Receivable - Karya Seru Bersama,541917,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,598,13140,Deposit Rent,40000000,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,585,16311,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 23,28605834,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,591,16377,PREPAID EXPENSES : PREPAID EXPENSES TAXES : PPN MASUKAN,2338145,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,766,16120,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Rent,96296300,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,768,16140,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Insurance,2060104,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,769,16150,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Others,65722631,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,385,17111,FIXED ASSETS : Asset : Furniture - Asset - 4 years,1596000,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,398,17211,FIXED ASSETS : Accumulated Depreciation : Furniture - Accumulated Depreciation,0,299250
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,387,17133,FIXED ASSETS : Asset : Machinery & Office Equipment - Assets- 4 years,21174000,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,399,17222,FIXED ASSETS : Accumulated Depreciation : Machinery & Office Equipment - Accumulated Depreciation,0,3754094
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,389,17155,"FIXED ASSETS : Asset : Computer, Printer & Notebook Assets",130294265,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,400,17233,"FIXED ASSETS : Accumulated Depreciation : Computer, Printer & Notebook Accumulated Depreciation",0,35438718
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,975,17165,FIXED ASSETS : Asset : Renovation Building - Assets - 2 Years,151143681,0
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,401,17244,FIXED ASSETS : Accumulated Depreciation : Renovation Building - Accumulated Depreciation,0,44083574
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,1079,22701,PPN KELUARAN : VAT Out,0,222744102
TAKA-TB MEI 2023,5/31/2023,TAKA,IDR,1,23-May,606,22100,PPN KELUARAN : Tax Article 23,0,17227696
