tranId,trandate,subsidiary,currency,exchangerate,postingperiod,internal ID,journalItemLine_memo,journalItemLine_account,journalItemLine_debitAmount,journalItemLine_creditAmount
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,741,11202 - SURGE,CASH & CASH EQUIVALENTS : BANK : Bank BCA (IDR) - SURGE,2082981220,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,287,11206 - SURGE,CASH & CASH EQUIVALENTS : BANK : Bank OCBC,38036242,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,288,11207 - SURGE,CASH & CASH EQUIVALENTS : BANK : Bank Danamon (IDR),109581639,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,541,13000,OTHERS RECEIVABLE,2461933,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,841,121207,OTHERS RECEIVABLE : Others Receivable - Setinggi Langit Kreafit Indonesia,6252564,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,585,16311,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 23,49346531,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,586,16322,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Prepaid Tax Article 25,134140,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,591,16377,PREPAID EXPENSES : PREPAID EXPENSES TAXES : PPN MASUKAN,61391471,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,592,16388,PREPAID EXPENSES : PREPAID EXPENSES TAXES : Vat/Witholding In Advance,2180473,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,767,16130,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Parking,1108335,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,768,16140,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Insurance,2856219,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,769,16150,PREPAID EXPENSES : PREPAID EXPENSES - : Prepaid Expenses Others,20066665,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,538,12011,RECEIVABLES : Work In Progress,614449809,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,389,17155,"FIXED ASSETS : Asset : Computer, Printer & Notebook Assets",38782624,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,400,17233,"FIXED ASSETS : Accumulated Depreciation : Computer, Printer & Notebook Accumulated Depreciation",0,19293529
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,333,21100,ACCOUNT PAYABLE : Accounts Payable,0,227018300
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,609,22400,PPN KELUARAN : Tax Article 21,0,812820
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,606,22100,PPN KELUARAN : Tax Article 23,0,9206130
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,610,22500,PPN KELUARAN : Tax Article 4(2),0,31006
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,1079,22701,PPN KELUARAN : VAT Out,0,40269554
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,620,23006,ACCRUED EXPENSES OTHERS : Accrued Employee Social Taxes,0,5880162
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,617,23004,ACCRUED EXPENSES OTHERS : Accrued Bonus,0,30630660
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,977,22900,Accrued Tax Article 21,0,4876685
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,615,23002,ACCRUED EXPENSES OTHERS : Accrued Expense Others,0,37025318
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,1602,27112,ACCRUED EXPENSES OTHERS : Accrued Expense Others : Accrued Expense Others - PT. Langit Kreatif Indonesia,0,1586997
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,1601,27111,ACCRUED EXPENSES OTHERS : Accrued Expense Others : Accrued Expense Others - PT. Angkasa Kreatif Indonesia,0,1675571
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,652,26500,EMPLOYEE BENEFIT LIABILITIES,0,744000
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,410,32100,CAPITAL : Retained Earnings,0,404176254
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,412,34100,CAPITAL : Share Capital,0,2500000000
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,509,40011,SALES : Sales -,0,266045126
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,1721,71340,Interest Earned,0,4680126
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,1511,71318,INTEREST INCOME : Loan Interest From PT. Setinggi Langit Kreatif Indonesia,0,12101738
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,423,61211,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : SALARY : Salaries,362872283,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,424,61222,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : SALARY : Salaries Intern,3875000,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,433,61422,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : COMMISION : THR,24857497,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,434,61433,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : COMMISION : Bonus,30630660,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,421,61144,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : EMPLOYEE SOCIAL TAXES : Employee Payroll Tax Allowance (PPh 21),25297675,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,980,61110,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : EMPLOYEE SOCIAL TAXES : Employee Social Taxes JHT & JP,27264967,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,418,61111,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : EMPLOYEE SOCIAL TAXES : Employee Social Taxes JKK & JKM,2824609,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,979,61310,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : BPJS Kesehatan (Component PPh 21),8737500,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,428,61311,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : BPJS KESEHATAN : BPJSKES,6225000,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,437,61511,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : Meals,100000,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,441,61555,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : Medical,3418992,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,450,61633,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : OTHER ALLOWANCE : Insurance,4066401,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,982,61634,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Insurance - Asset,35000,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,1780,61655,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : OTHER ALLOWANCE : Parking Office,791665,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,438,61522,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : ALLOWANCE : Travel & Transportation,44500,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,457,61705,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Electricity & Water,1450196,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,461,61709,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Stamp Duties,30000,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,462,61710,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Postage,158500,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,455,61703,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Internet,12485101,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,466,61714,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Office Expenses,6463717,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,459,61707,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Software Programme,4785000,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,469,61717,OPERATIONAL EXPENSES : ADM & OFFICE EXPENSES : Repair & Maintenance Office Equipment,45000,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,474,61811,OPERATIONAL EXPENSES : FINANCE AND RELATED EXPENSES : Legal and Professional Fees,1381556,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,449,61622,OPERATIONAL EXPENSES : STAF & RELATED EXPENSES : OTHER ALLOWANCE : Freelance Expenses,90256412,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,475,61822,OPERATIONAL EXPENSES : FINANCE AND RELATED EXPENSES : Back Office Expenses,345000000,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,497,65055,"DEPRECIATION EXPENSES : Depreciation Expenses - Comp, Printer & Notebook",4039857,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,484,61933,OPERATIONAL EXPENSES : MARKETING AND SALES SUPPORT : Gift and Sponsorship,3300000,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,780,72111,OTHERS EXPENSES : Bank Charges,838900,0
SURGE-TB MEI 2023,5/31/2023,SURGE,IDR,1,May-23,782,72120,OTHERS EXPENSES : Miscellaneous Expenses,1,0
