date,transactionNumber,idInvoice,memo,locationId,Product Code,description,unit,unitPrice,discountLine,taxrateId,qty,discountAmounr,grossAmount,isDiscount
13/01/2022,10075,6667075,,14,ASR-0001,,Karton,195454.5455,0.00%,5,1,0,215000,2
13/01/2022,10075,6667075,,14,ASR-0002,,Karton,195454.5455,0.00%,5,1,0,215000,2
13/01/2022,SNI20220111-132,6667355,,14,NJL-0032,,Karton,16185.45455,0.00%,5,2,0,35608,2
13/01/2022,SNI20220111-132,6667355,,14,NJL-0007,,Karton,23593.63636,0.00%,5,2,0,51906,2
13/01/2022,SNI20220111-132,6667355,,14,NJL-0035,,Karton,16185.45455,0.00%,5,1,0,17804,2
18/01/2022,SNI20220117-444,6667397,,14,POP-0066,,Karton,41703.63636,0.00%,5,1,0,45874,2
19/01/2022,10076,6639623,,10,POP-0056,,Karton,8636.363636,0.00%,5,15,0,142500,2
19/01/2022,10077,6639592,,10,NJL-0032,,Karton,186363.6364,0.00%,5,1,0,205000,2
19/01/2022,10078,6654590,,10,BRD-0004,,Karton,727.272727,0.00%,5,1,0,800,2
19/01/2022,10078,6654590,,10,BRD-0004,,Karton,15454.54546,0.00%,5,1,0,17000,2
19/01/2022,10078,6654590,,10,BRD-0001,,Karton,15454.54546,0.00%,5,1,0,17000,2
