date,transactionNumber,idInvoice,memo,locationId,Product Code,description,unit,unitPrice,discountLine,taxrateId,qty,discountAmounr,grossAmount,isDiscount
19/01/2022,SNI20220117-447,6667405,,14,ASR-0001,,Karton,194820,0.03,5,3,92569.43,642906.00,1
19/01/2022,SNI20220117-447,6667405,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
19/01/2022,SNI20220117-447,6667405,,14,ASR-0002,,Karton,187150,0.03,5,3,92569.43,617595.00,1
19/01/2022,SNI20220117-447,6667405,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
19/01/2022,SNI20220117-447,6667405,,14,NJL-0032,,Karton,194226.3636,0.03,5,3,92569.43,640947.00,1
19/01/2022,SNI20220117-447,6667405,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
19/01/2022,SNI20220117-447,6667405,,14,NJL-0035,,Karton,194226.3636,0.03,5,2,92569.43,427298.00,1
19/01/2022,SNI20220117-447,6667405,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
19/01/2022,SNI20220117-447,6667405,,14,NJL-0039,,Karton,194226.3636,0.03,5,2,92569.43,427298.00,1
19/01/2022,SNI20220117-447,6667405,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
19/01/2022,SNI20220117-447,6667405,,14,NJL-0043,,Karton,194226.3636,0.03,5,2,92569.43,427298.00,1
19/01/2022,SNI20220117-447,6667405,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
19/01/2022,SNI20220117-447,6667405,,14,NJL-0038,,Karton,194226.3636,0.03,5,1,92569.43,213649.00,1
19/01/2022,SNI20220117-447,6667405,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
19/01/2022,SNI20220117-447,6667405,,14,NJL-0007,,Karton,283124.5455,0.03,5,3,92569.43,934311.00,1
19/01/2022,SNI20220117-447,6667405,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
19/01/2022,SNI20220117-447,6667405,,14,POP-0051,,Karton,208518.1818,0.03,5,4,92569.43,917480.00,1
19/01/2022,SNI20220117-447,6667405,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
25/01/2022,SNI20220124-820,6667951,,14,POP-0072,,Karton,208518.1818,0.03,5,2,0,458740.00,1
25/01/2022,SNI20220124-820,6667951,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
26/01/2022,SNI20220125-908,6667942,,14,POP-0052,,Karton,208518.1818,0.03,5,2,8090.51,458740.00,1
26/01/2022,SNI20220125-908,6667942,,14,Promotion Discount,,,-3.00%,0.03,5,,,0.00,1
27/01/2022,SNI20220126-961,6667933,,14,NJL-0032,,Karton,16185.45455,0.01,5,1,331.82,17804.00,1
27/01/2022,SNI20220126-961,6667933,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
27/01/2022,SNI20220126-961,6667933,,14,AGR-0001,,Karton,17331.81818,0.01,5,1,331.82,19065.00,1
27/01/2022,SNI20220126-961,6667933,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
29/01/2022,SNI20220128-1105,6667911,,14,NJL-0008,,Karton,51710.90909,0.01,5,2,5646.48,113764.00,1
29/01/2022,SNI20220128-1105,6667911,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
29/01/2022,SNI20220128-1105,6667911,,14,NJL-0024,,Karton,42448.18182,0.01,5,1,5646.48,46693.00,1
29/01/2022,SNI20220128-1105,6667911,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
29/01/2022,SNI20220128-1105,6667911,,14,NJL-0030,,Karton,42448.18182,0.01,5,2,5646.48,93386.00,1
29/01/2022,SNI20220128-1105,6667911,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
29/01/2022,SNI20220128-1105,6667911,,14,NJL-0025,,Karton,42448.18182,0.01,5,1,5646.48,46693.00,1
29/01/2022,SNI20220128-1105,6667911,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
29/01/2022,SNI20220128-1105,6667911,,14,NJL-0009,,Karton,42448.18182,0.01,5,2,5646.48,93386.00,1
29/01/2022,SNI20220128-1105,6667911,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
29/01/2022,SNI20220128-1105,6667911,,14,NJL-0028,,Karton,42448.18182,0.01,5,2,5646.48,93386.00,1
29/01/2022,SNI20220128-1105,6667911,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
29/01/2022,SNI20220128-1105,6667911,,14,NJL-0029,,Karton,42448.18182,0.01,5,2,5646.48,93386.00,1
29/01/2022,SNI20220128-1105,6667911,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
29/01/2022,SNI20220128-1105,6667911,,14,NJL-0027,,Karton,42448.18182,0.01,5,1,5646.48,46693.00,1
29/01/2022,SNI20220128-1105,6667911,,14,Promotion Discount,,,-1.00%,0.01,5,,,0.00,1
