date,transactionNumber,idInvoice,memo,locationId,Product Code,description,unit,unitPrice,discountLine,taxrateId,qty,discountAmounr,grossAmount,isDiscount
25/02/2022,SNI20220224-856,6697415,,14,POP-0061,,Karton,41703.63636,0.01,5,1,3370.77,45874,1
25/02/2022,SNI20220224-856,6697415,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
25/02/2022,SNI20220224-856,6697415,,14,POP-0071,,Karton,41703.63636,0.01,5,1,3370.77,45874,1
25/02/2022,SNI20220224-856,6697415,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
25/02/2022,SNI20220224-856,6697415,,14,POP-0052,,Karton,41703.63636,0.01,5,1,3370.77,45874,1
25/02/2022,SNI20220224-856,6697415,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
25/02/2022,SNI20220224-856,6697415,,14,POP-0076,,Karton,41703.63636,0.01,5,1,3370.77,45874,1
25/02/2022,SNI20220224-856,6697415,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
25/02/2022,SNI20220224-856,6697415,,14,POP-0058,,Karton,41703.63636,0.01,5,1,3370.77,45874,1
25/02/2022,SNI20220224-856,6697415,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
25/02/2022,SNI20220224-856,6697415,,14,POP-0057,,Karton,41703.63636,0.01,5,1,3370.77,45874,1
25/02/2022,SNI20220224-856,6697415,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
25/02/2022,SNI20220224-856,6697415,,14,POP-0062,,Karton,41703.63636,0.01,5,1,3370.77,45874,1
25/02/2022,SNI20220224-856,6697415,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
25/02/2022,SNI20220224-856,6697415,,14,NJL-0032,,Karton,16185.45455,0.01,5,3,3370.77,53412,1
25/02/2022,SNI20220224-856,6697415,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
25/02/2022,SNI20220224-850,6697412,,14,POP-0066,,Karton,208518.1818,0.02,5,2,4086.96,458740,1
25/02/2022,SNI20220224-850,6697412,,14,Promotion Discount,,,-2.00%,0.02,5,,,0,1
1/3/2022,SNI20220226-968,6697095,,14,POP-0051,,Karton,208518.1818,0.03,5,15,91018.19,3440550,1
1/3/2022,SNI20220226-968,6697095,,14,Promotion Discount,,,-3.00%,0.03,5,,,0,1
8/3/2022,SNI20220307-89,6668248,,14,NJL-0007,,Karton,23593.63636,0.01,5,1,233.58,25953,1
8/3/2022,SNI20220307-89,6668248,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
11/3/2022,SNI20220310-250,6668212,,14,ASR-0001,,Karton,38963.63636,0.01,5,1,0,42860,1
11/3/2022,SNI20220310-250,6668212,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
11/3/2022,SNI20220310-250,6668212,,14,ASR-0002,,Karton,15595.45455,0.01,5,2,0,34310,1
11/3/2022,SNI20220310-250,6668212,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
11/3/2022,SNI20220310-255,6668111,,14,NJL-0014,,Karton,6964.545455,0.01,5,12,827.39,91932,1
11/3/2022,SNI20220310-255,6668111,,14,Promotion Discount,,,-1.00%,0.01,5,,,0,1
