External ID,Date,Transaction Type,Transaction Number,Warehouse,Location ID,Display Name,Internal ID Vendor,Status By Today,Memo,Reference Number,Product Name,Discount Amount,Company Name,Discount %,Product Code,Internal ID Item,Description,Quantity,Unit,Unit Price,Discount Line %,Tax Rate,Tax Rate ID,Tax Amount,Taxable Amount per Line,Total per line,Gross Amount,Rate
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Coklat Biskuit 25g,0,,0,POP-0059,3033,,63,Karton,190700,0.20,10,5,1199007.18,11990071.8,11990071.8,13189078.98,190318.6
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Choco Cream 25g,0,,0,POP-0068,3042,,189,Karton,190700,0.20,10,5,3597021.54,35970215.4,35970215.4,39567236.94,190318.6
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Coklat Susu 25g,0,,0,POP-0069,3043,,63,Karton,190700,0.20,10,5,1199007.18,11990071.8,11990071.8,13189078.98,190318.6
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Moccacino 25g,0,,0,POP-0070,3044,,54,Karton,190700,0.20,10,5,1027720.44,10277204.4,10277204.4,11304924.84,190318.6
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Cream Cheese 25g,0,,0,POP-0077,3051,,50,Karton,190700,0.20,10,5,951593,9515930,9515930,10467523,190318.6
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Es Teler 25g,0,,0,POP-0064,3038,,25,Karton,190700,0.20,10,5,475796.5,4757965,4757965,5233761.5,190318.6
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Tornado Squash 25g,0,,0,POP-0054,3028,,63,Karton,190700,0.20,10,5,1199007.18,11990071.8,11990071.8,13189078.98,190318.6
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Kacang Hijau 25g,0,,0,POP-0072,3046,,5,Karton,190700,0.20,10,5,95159.3,951593,951593,1046752.3,190318.6
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Blueberry 25g,0,,0,POP-0065,3039,,100,Karton,190700,0.20,10,5,1903186,19031860,19031860,20935046,190318.6
SNI-10022,4/3/2022,Purchase Order,10022,Sedati,14,PT Forisa Nusapersada,668,Closed,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,,**Pop Ice Guava 25g,0,,0,POP-0067,3041,,63,Karton,190700,0.20,10,5,1199007.18,11990071.8,11990071.8,13189078.98,190318.6
