cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6533394,SNI20220521-875,21/5/2022,Print,SNI20220521-875,37345,SNI-135,,,IDR,"Rp9.853.800,47",9853800.47,,976504,,,9853800.47
6533395,SNI20220521-976,21/5/2022,Print,SNI20220521-976,SNI-570,SNI-570,,,IDR,"Rp4.278.000,00",4278000,,423948,,,4278000
6533396,SNI20220521-997,21/5/2022,Print,SNI20220521-997,SNI-568,SNI-568,,,IDR,"Rp5.213.100,00",5213100,,516614,,,5213100
6533397,SNI20220523-952,23/5/2022,Print,SNI20220523-952,SNI-953,SNI-953,,,IDR,"Rp188.591,26",188591.26,,18687,,,188591.26
6533420,SNI20220523-953,23/5/2022,Print,SNI20220523-953,6821,SNI-155,,,IDR,"Rp15.046.453,06",15046453.06,,1491094,,,15046453.06
6533398,SNI20220523-954,23/5/2022,Print,SNI20220523-954,10920,SNI-885,,,IDR,"Rp256.532,46",256532.46,,25422,,,256532.46
6533399,SNI20220523-955,23/5/2022,Print,SNI20220523-955,SNI-475,SNI-475,,,IDR,"Rp226.824,60",226824.6,,22475,,,226824.6
6533400,SNI20220523-956,23/5/2022,Print,SNI20220523-956,SNI-010,SNI-735,,,IDR,"Rp175.519,86",175519.86,,17390,,,175519.86
6533401,SNI20220523-957,23/5/2022,Print,SNI20220523-957,SNI-600,SNI-600,,,IDR,"Rp183.100,52",183100.52,,18143,,,183100.52
6533402,SNI20220523-958,23/5/2022,Print,SNI20220523-958,178566,SNI-608,,,IDR,"Rp125.688,91",125688.91,,12456,,,125688.91
6533403,SNI20220523-959,23/5/2022,Print,SNI20220523-959,SNI-377,SNI-733,,,IDR,"Rp609.769,23",609769.23,,60421,,,609769.23
6533404,SNI20220523-960,23/5/2022,Print,SNI20220523-960,5751,SNI-609,,,IDR,"Rp731.808,67",731808.67,,72520,,,731808.67
6533405,SNI20220523-961,23/5/2022,Print,SNI20220523-961,SNI-254,SNI-254,,,IDR,"Rp968.690,35",968690.35,,95996,,,968690.35
6533406,SNI20220523-962,23/5/2022,Print,SNI20220523-962,5676,SNI-567,,,IDR,"Rp461.106,18",461106.18,,45693,,,461106.18
6533407,SNI20220523-963,23/5/2022,Print,SNI20220523-963,SNI-649,SNI-649,,,IDR,"Rp488.220,58",488220.58,,48376,,,488220.58
6533408,SNI20220523-964,23/5/2022,Print,SNI20220523-964,SNI-674,SNI-674,,,IDR,"Rp1.470.987,00",1470987,,145773,,,1470987
6533419,SNI20220523-965,23/5/2022,Print,SNI20220523-965,SNI-927,SNI-927,,,IDR,"Rp21.571.637,61",21571637.61,,2137732,,,21571637.61
6533409,SNI20220523-966,23/5/2022,Print,SNI20220523-966,SNI-492,SNI-492,,,IDR,"Rp5.198.010,29",5198010.29,,515119,,,5198010.29
6533410,SNI20220523-967,23/5/2022,Print,SNI20220523-967,SNI-971,SNI-971,,,IDR,"Rp1.524.433,10",1524433.1,,151071,,,1524433.1
6533411,SNI20220523-968,23/5/2022,Print,SNI20220523-968,50519,SNI-970,,,IDR,"Rp217.776,59",217776.59,,21582,,,217776.59
6533412,SNI20220523-969,23/5/2022,Print,SNI20220523-969,360,SNI-508,,,IDR,"Rp1.023.610,00",1023610,,101432,,,1023610
6533413,SNI20220523-970,23/5/2022,Print,SNI20220523-970,SNI-597,SNI-597,,,IDR,"Rp1.606.169,52",1606169.52,,159166,,,1606169.52
