cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6592467,SNI20220413-214,13/4/2022,Print,SNI20220413-214,SNI-008,SNI-008,,,IDR,"Rp33.626,89",33626.89,,3332,,,33626.89
6592721,SNI20220413-215,13/4/2022,Print,SNI20220413-215,52249,SNI-090,,,IDR,"Rp239.195,30",239195.3,,23702,,,239195.3
6592468,SNI20220413-216,13/4/2022,Print,SNI20220413-216,124294,SNI-409,,,IDR,"Rp453.696,98",453696.98,,44960,,,453696.98
6592469,SNI20220413-217,13/4/2022,Print,SNI20220413-217,KDR-1013,SNI-093,,,IDR,"Rp165.044,97",165044.97,,16354,,,165044.97
6592470,SNI20220413-218,13/4/2022,Print,SNI20220413-218,SNI-005,SNI-005,,,IDR,"Rp385.587,80",385587.8,,38209,,,385587.8
6592471,SNI20220413-219,13/4/2022,Print,SNI20220413-219,SNI-258,SNI-258,,,IDR,"Rp283.951,00",283951,,28140,,,283951
6592472,SNI20220413-220,13/4/2022,Print,SNI20220413-220,SNI-027,SNI-848,,,IDR,"Rp806.789,24",806789.24,,79951,,,806789.24
6592473,SNI20220413-221,13/4/2022,Print,SNI20220413-221,SNI-869,SNI-869,,,IDR,"Rp589.991,83",589991.83,,58464,,,589991.83
6592474,SNI20220413-222,13/4/2022,Print,SNI20220413-222,SNI-013,SNI-013,,,IDR,"Rp181.478,38",181478.38,,17983,,,181478.38
6592475,SNI20220413-223,13/4/2022,Print,SNI20220413-223,109212,SNI-312,,,IDR,"Rp6.440.885,54",6440885.54,,638288,,,6440885.54
6592476,SNI20220413-224,13/4/2022,Print,SNI20220413-224,SNI-158,SNI-168,,,IDR,"Rp4.376.887,66",4376887.66,,433747,,,4376887.66
6592477,SNI20220413-225,13/4/2022,Print,SNI20220413-225,SNI-009,SNI-009,,,IDR,"Rp136.109,27",136109.27,,13487,,,136109.27
6592722,SNI20220413-226,13/4/2022,Print,SNI20220413-226,SNI-893,SNI-893,,,IDR,"Rp46.645,52",46645.52,,4622,,,46645.52
6592723,SNI20220413-227,13/4/2022,Print,SNI20220413-227,SNI-029,SNI-029,,,IDR,"Rp957.726,46",957726.46,,94908,,,957726.46
6592488,SNI20220413-228,13/4/2022,Print,SNI20220413-228,SNI-265,SNI-265,,,IDR,"Rp225.000,30",225000.3,,22297,,,225000.3
6592478,SNI20220413-229,13/4/2022,Print,SNI20220413-229,SNI-149,SNI-149,,,IDR,"Rp6.036.460,55",6036460.55,,598209,,,6036460.55
6592479,SNI20220413-230,13/4/2022,Print,SNI20220413-230,16178,SNI-185,,,IDR,"Rp1.757.048,23",1757048.23,,174124,,,1757048.23
6592724,SNI20220413-231,13/4/2022,Print,SNI20220413-231,7152,SNI-316,,,IDR,"Rp174.709,84",174709.84,,17314,,,174709.84
6592480,SNI20220413-232,13/4/2022,Print,SNI20220413-232,6197,SNI-307,,,IDR,"Rp288.161,95",288161.95,,28556,,,288161.95
6592481,SNI20220413-233,13/4/2022,Print,SNI20220413-233,SNI-606,SNI-606,,,IDR,"Rp314.071,03",314071.03,,31124,,,314071.03
6592725,SNI20220413-234,13/4/2022,Print,SNI20220413-234,15382,SNI-204,,,IDR,"Rp226.824,60",226824.6,,22475,,,226824.6
6592726,SNI20220413-235,13/4/2022,Print,SNI20220413-235,114626,SNI-201,,,IDR,"Rp183.311,85",183311.85,,18165,,,183311.85
