cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6693200,,15/2/2022,Print,SNI20220215-348,SNI-029,SNI20220215-348,,,IDR,"Rp599.191,52",599191.52,,54476,,,599191.52
6693201,,15/2/2022,Print,SNI20220215-349,SNI-896,SNI20220215-349,,,IDR,"Rp70.122,00",70122,,6375,,,70122
6693202,,15/2/2022,Print,SNI20220215-350,SNI-652,SNI20220215-350,,,IDR,"Rp1.844.980,94",1844980.94,,167728,,,1844980.94
6693203,,15/2/2022,Print,SNI20220215-351,SNI-488,SNI20220215-351,,,IDR,"Rp4.957.539,70",4957539.7,,450686,,,4957539.7
6693204,,15/2/2022,Print,SNI20220215-352,SNI-488,SNI20220215-352,,,IDR,"Rp10.790.712,87",10790712.87,,980975,,,10790712.87
6693205,,15/2/2022,Print,SNI20220215-353,SNI-906,SNI20220215-353,,,IDR,"Rp227.075,00",227075,,20642,,,227075
6693206,,16/2/2022,Print,SNI20220216-401,SNI-907,SNI20220216-401,,,IDR,"Rp23.800.963,78",23800963.78,,2163722,,,23800963.78
6693207,,16/2/2022,Print,SNI20220216-402,SNI-228,SNI20220216-402,,,IDR,"Rp248.480,75",248480.75,,22589,,,248480.75
6693208,,16/2/2022,Print,SNI20220216-403,SNI-494,SNI20220216-403,,,IDR,"Rp193.701,57",193701.57,,17607,,,193701.57
6693209,,16/2/2022,Print,SNI20220216-404,SNI-757,SNI20220216-404,,,IDR,"Rp10.790.709,87",10790709.87,,980972,,,10790709.87
6693210,,16/2/2022,Print,SNI20220216-405,SNI-307,SNI20220216-405,,,IDR,"Rp194.016,58",194016.58,,17638,,,194016.58
6693211,,16/2/2022,Print,SNI20220216-406,SNI-124,SNI20220216-406,,,IDR,"Rp90.704,74",90704.74,,8248,,,90704.74
6693212,,16/2/2022,Print,SNI20220216-407,SNI-607,SNI20220216-407,,,IDR,"Rp542.437,02",542437.02,,49313,,,542437.02
6693213,,16/2/2022,Print,SNI20220216-408,SNI-316,SNI20220216-408,,,IDR,"Rp549.103,28",549103.28,,49918,,,549103.28
6693214,,16/2/2022,Print,SNI20220216-409,SNI-401,SNI20220216-409,,,IDR,"Rp179.843,94",179843.94,,16349,,,179843.94
6693215,,16/2/2022,Print,SNI20220216-410,SNI-691,SNI20220216-410,,,IDR,"Rp134.881,20",134881.2,,12260,,,134881.2
6693216,,16/2/2022,Print,SNI20220216-411,SNI-414,SNI20220216-411,,,IDR,"Rp70.504,40",70504.4,,6410,,,70504.4
6693217,,16/2/2022,Print,SNI20220216-412,SNI-404,SNI20220216-412,,,IDR,"Rp59.414,50",59414.5,,5401,,,59414.5
6693218,,16/2/2022,Print,SNI20220216-413,SNI-908,SNI20220216-413,,,IDR,"Rp281.522,88",281522.88,,25595,,,281522.88
6693219,,16/2/2022,Print,SNI20220216-414,SNI-491,SNI20220216-414,,,IDR,"Rp14.558.807,13",14558807.13,,1323527,,,14558807.13
6693220,,16/2/2022,Print,SNI20220216-415,SNI-498,SNI20220216-415,,,IDR,"Rp973.305,35",973305.35,,88483,,,973305.35
6693221,,16/2/2022,Print,SNI20220216-416,SNI-869,SNI20220216-416,,,IDR,"Rp318.053,20",318053.2,,28914,,,318053.2
