cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6592808,SNI20220422-608,22/4/2022,Print,SNI20220422-608,SNI-954,SNI-954,,,IDR,"Rp142.677,00",142677,,14141,,,142677
6592576,SNI20220422-636,22/4/2022,Print,SNI20220422-636,41374,SNI-576,,,IDR,"Rp22.866.479,55",22866479.55,,2266048,,,22866479.55
6592577,SNI20220422-650,22/4/2022,Print,SNI20220422-650,SNI-199,SNI-199,,,IDR,"Rp225.090,67",225090.67,,22307,,,225090.67
6592578,SNI20220422-651,22/4/2022,Print,SNI20220422-651,51672,SNI-614,,,IDR,"Rp303.851,95",303851.95,,30111,,,303851.95
6592770,SNI20220422-652,22/4/2022,Print,SNI20220422-652,SNI-913,SNI-913,,,IDR,"Rp317.555,46",317555.46,,31467,,,317555.46
6592771,SNI20220422-653,22/4/2022,Print,SNI20220422-653,48447,SNI-910,,,IDR,"Rp893.664,32",893664.32,,88561,,,893664.32
6592579,SNI20220422-654,22/4/2022,Print,SNI20220422-654,137942,SNI-493,,,IDR,"Rp641.609,04",641609.04,,63577,,,641609.04
6592580,SNI20220422-655,22/4/2022,Print,SNI20220422-655,JBG-189,SNI-861,,,IDR,"Rp757.864,76",757864.76,,75100,,,757864.76
6592581,SNI20220422-656,22/4/2022,Print,SNI20220422-656,5475,SNI-556,,,IDR,"Rp1.196.046,35",1196046.35,,118522,,,1196046.35
6592582,SNI20220422-657,22/4/2022,Print,SNI20220422-657,SNI-146,SNI-146,,,IDR,"Rp144.447,74",144447.74,,14313,,,144447.74
6592772,SNI20220422-658,22/4/2022,Print,SNI20220422-658,160472,SNI-124,,,IDR,"Rp122.245,56",122245.56,,12114,,,122245.56
6592583,SNI20220422-659,22/4/2022,Print,SNI20220422-659,17030,SNI-277,,,IDR,"Rp2.649.826,41",2649826.41,,262596,,,2649826.41
6592584,SNI20220422-660,22/4/2022,Print,SNI20220422-660,48023,SNI-900,,,IDR,"Rp188.933,99",188933.99,,18721,,,188933.99
6592585,SNI20220422-661,22/4/2022,Print,SNI20220422-661,122368,SNI-892,,,IDR,"Rp226.849,49",226849.49,,22481,,,226849.49
6592586,SNI20220422-662,22/4/2022,Print,SNI20220422-662,SNI-213,SNI-213,,,IDR,"Rp230.897,44",230897.44,,22882,,,230897.44
6592587,SNI20220422-663,22/4/2022,Print,SNI20220422-663,SNI-927,SNI-927,,,IDR,"Rp8.527.640,59",8527640.59,,845082,,,8527640.59
6592588,SNI20220422-664,22/4/2022,Print,SNI20220422-664,9640,SNI-957,,,IDR,"Rp9.146.595,62",9146595.62,,906423,,,9146595.62
6592589,SNI20220423-718,23/4/2022,Print,SNI20220423-718,SNI-886,SNI-886,,,IDR,"Rp4.865.140,17",4865140.17,,482131,,,4865140.17
6592590,SNI20220423-719,23/4/2022,Print,SNI20220423-719,SNI-333,SNI-333,,,IDR,"Rp1.679.290,04",1679290.04,,166417,,,1679290.04
6592773,SNI20220423-720,23/4/2022,Print,SNI20220423-720,SNI-108,SNI-108,,,IDR,"Rp236.899,38",236899.38,,23474,,,236899.38
6592774,SNI20220423-721,23/4/2022,Print,SNI20220423-721,SNI-112,SNI-112,,,IDR,"Rp449.688,12",449688.12,,44562,,,449688.12
6592775,SNI20220423-722,23/4/2022,Print,SNI20220423-722,SNI-256,SNI-256,,,IDR,"Rp262.038,18",262038.18,,25965,,,262038.18
