cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6589437,SNI20220118-517,18/1/2022,Print,SNI20220118-517,SNI-078,SNI-078,,,IDR,"Rp2.787.288,48",2787288.48,,253390,,,2787288.48
6589438,SNI20220118-518,18/1/2022,Print,SNI20220118-518,119200,SNI-050,,,IDR,"Rp422.267,03",422267.03,,38388,,,422267.03
6589332,SNI20220118-519,18/1/2022,Print,SNI20220118-519,SNI-082,SNI-082,,,IDR,"Rp5.450.974,17",5450974.17,,495542,,,5450974.17
6589380,SNI20220119-565,19/1/2022,Print,SNI20220119-565,5481,SNI-293,,,IDR,"Rp496.522,40",496522.4,,45139,,,496522.4
6557143,SNI20220119-566,19/1/2022,Print,SNI20220119-566,5881,SNI-424,,,IDR,"Rp35.609.348,89",35609348.89,,3237213,,,35609348.89
6557144,SNI20220119-567,19/1/2022,Print,SNI20220119-567,SNI-757,SNI-757,,,IDR,"Rp45.320.987,80",45320987.8,,4120088,,,45320987.8
6557372,SNI20220119-568,19/1/2022,Print,SNI20220119-568,112703,SNI-291,,,IDR,"Rp169.013,00",169013,,15365,,,169013
6557145,SNI20220119-569,19/1/2022,Print,SNI20220119-569,JBG-372,SNI-473,,,IDR,"Rp277.155,25",277155.25,,25198,,,277155.25
6557146,SNI20220119-570,19/1/2022,Print,SNI20220119-570,SNI-049,SNI-049,,,IDR,"Rp276.245,06",276245.06,,25116,,,276245.06
6589439,SNI20220119-571,19/1/2022,Print,SNI20220119-571,119200,SNI-050,,,IDR,"Rp1.320.589,18",1320589.18,,120054,,,1320589.18
6557148,SNI20220119-572,19/1/2022,Print,SNI20220119-572,SNI-098,SNI-098,,,IDR,"Rp426.720,50",426720.5,,38793,,,426720.5
6557149,SNI20220119-573,19/1/2022,Print,SNI20220119-573,13111,SNI-086,,,IDR,"Rp134.882,27",134882.27,,12260,,,134882.27
6589333,SNI20220119-574,19/1/2022,Print,SNI20220119-574,SNI-306,SNI-306,,,IDR,"Rp4.709.201,74",4709201.74,,428110,,,4709201.74
6589334,SNI20220119-575,19/1/2022,Print,SNI20220119-575,109212,SNI-312,,,IDR,"Rp9.642.323,57",9642323.57,,876571,,,9642323.57
6557152,SNI20220119-576,19/1/2022,Print,SNI20220119-576,51672,SNI-089,,,IDR,"Rp404.647,85",404647.85,,36783,,,404647.85
6557153,SNI20220119-577,19/1/2022,Print,SNI20220119-577,SNI-853,SNI-853,,,IDR,"Rp89.921,18",89921.18,,8173,,,89921.18
6557154,SNI20220119-578,19/1/2022,Print,SNI20220119-578,4080,SNI-857,,,IDR,"Rp205.506,76",205506.76,,18685,,,205506.76
6589440,SNI20220119-579,19/1/2022,Print,SNI20220119-579,SNI-107,SNI-107,,,IDR,"Rp2.432.123,65",2432123.65,,221103,,,2432123.65
6589335,SNI20220119-580,19/1/2022,Print,SNI20220119-580,SNI-158,SNI-168,,,IDR,"Rp4.989.491,97",4989491.97,,453590,,,4989491.97
6589336,SNI20220119-581,19/1/2022,Print,SNI20220119-581,SNI-078,SNI-078,,,IDR,"Rp4.142.743,86",4142743.86,,376614,,,4142743.86
