cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6557308,SNI20220107-82,7/1/2022,Print,SNI20220107-82,139645,SNI-178,,,IDR,"Rp224.784,60",224784.6,,20435,,,224784.6
6556915,SNI20220107-83,7/1/2022,Print,SNI20220107-83,GRK-020,SNI-497,,,IDR,"Rp326.237,26",326237.26,,29659,,,326237.26
6556916,SNI20220107-84,7/1/2022,Print,SNI20220107-84,8929,SNI-346,,,IDR,"Rp128.975,34",128975.34,,11725,,,128975.34
6589408,SNI20220107-85,7/1/2022,Print,SNI20220107-85,SNI-467,SNI-467,,,IDR,"Rp1.669.270,84",1669270.84,,151751,,,1669270.84
6556918,SNI20220107-86,7/1/2022,Print,SNI20220107-86,SNI-357,SNI-357,,,IDR,"Rp312.053,04",312053.04,,28368,,,312053.04
6589409,SNI20220107-87,7/1/2022,Print,SNI20220107-87,SNI-396,SNI-396,,,IDR,"Rp445.070,30",445070.3,,40461,,,445070.3
6556920,SNI20220107-88,7/1/2022,Print,SNI20220107-88,179051,SNI-455,,,IDR,"Rp231.104,26",231104.26,,21011,,,231104.26
6556921,SNI20220107-89,7/1/2022,Print,SNI20220107-89,138116,SNI-356,,,IDR,"Rp818.584,37",818584.37,,74416,,,818584.37
6589410,SNI20220107-90,7/1/2022,Print,SNI20220107-90,SNI-359,SNI-359,,,IDR,"Rp496.659,77",496659.77,,45151,,,496659.77
6557309,SNI20220107-91,7/1/2022,Print,SNI20220107-91,SNI-558,SNI-558,,,IDR,"Rp224.784,60",224784.6,,20435,,,224784.6
6556923,SNI20220107-92,7/1/2022,Print,SNI20220107-92,SNI-157,SNI-157,,,IDR,"Rp842.664,34",842664.34,,76608,,,842664.34
6556924,SNI20220107-93,7/1/2022,Print,SNI20220107-93,SNI-444,SNI-444,,,IDR,"Rp484.633,82",484633.82,,44058,,,484633.82
6557310,SNI20220107-94,7/1/2022,Print,SNI20220107-94,7400,SNI-217,,,IDR,"Rp1.015.870,54",1015870.54,,92351,,,1015870.54
6557433,SNI20220107-95,7/1/2022,Print,SNI20220107-95,19420,SNI-658,,,IDR,"Rp1.505.000,00",1505000,,136817,,,1505000
6557434,SNI20220107-96,7/1/2022,Print,SNI20220107-96,8700,SNI-328,,,IDR,"Rp16.340.000,00",16340000,,1485456,,,16340000
6557435,SNI20220107-97,7/1/2022,Print,SNI20220107-97,SNI-372,SNI-372,,,IDR,"Rp3.655.000,00",3655000,,332272,,,3655000
6557436,SNI20220107-98,7/1/2022,Print,SNI20220107-98,6192,SNI-234,,,IDR,"Rp2.365.000,00",2365000,,214998,,,2365000
6589370,SNI20220108-100,8/1/2022,Print,SNI20220108-100,1051,SNI-470,,,IDR,"Rp225.940,64",225940.64,,20539,,,225940.64
6589319,SNI20220108-101,8/1/2022,Print,SNI20220108-101,SNI-674,SNI-674,,,IDR,"Rp3.922.513,29",3922513.29,,356595,,,3922513.29
6589320,SNI20220108-102,8/1/2022,Print,SNI20220108-102,SNI-122,SNI-122,,,IDR,"Rp1.090.193,05",1090193.05,,99107,,,1090193.05
