cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6693000,,2/2/2022,Print,SNI20220202-8,SNI-090,SNI20220202-8,,,IDR,"Rp227.073,00",227073,,20640,,,227073
6693001,,2/2/2022,Print,SNI20220202-9,SNI-886,SNI20220202-9,,,IDR,"Rp4.009.442,48",4009442.48,,364493,,,4009442.48
6693007,,3/2/2022,Print,SNI20220203-15,SNI-228,SNI20220203-15,,,IDR,"Rp176.872,08",176872.08,,16079,,,176872.08
6693008,,3/2/2022,Print,SNI20220203-16,SNI-122,SNI20220203-16,,,IDR,"Rp2.616.469,58",2616469.58,,237861,,,2616469.58
6693009,,3/2/2022,Print,SNI20220203-17,SNI-888,SNI20220203-17,,,IDR,"Rp125.452,30",125452.3,,11405,,,125452.3
6693010,,3/2/2022,Print,SNI20220203-18,SNI-889,SNI20220203-18,,,IDR,"Rp224.781,83",224781.83,,20434,,,224781.83
6693011,,3/2/2022,Print,SNI20220203-19,SNI-890,SNI20220203-19,,,IDR,"Rp404.609,06",404609.06,,36783,,,404609.06
6693012,,3/2/2022,Print,SNI20220203-20,SNI-345,SNI20220203-20,,,IDR,"Rp539.508,69",539508.69,,49047,,,539508.69
6693013,,3/2/2022,Print,SNI20220203-21,SNI-325,SNI20220203-21,,,IDR,"Rp134.883,20",134883.2,,12262,,,134883.2
6693014,,3/2/2022,Print,SNI20220203-22,SNI-359,SNI20220203-22,,,IDR,"Rp667.605,04",667605.04,,60692,,,667605.04
6693015,,3/2/2022,Print,SNI20220203-23,SNI-089,SNI20220203-23,,,IDR,"Rp404.645,61",404645.61,,36782,,,404645.61
6693016,,3/2/2022,Print,SNI20220203-24,SNI-326,SNI20220203-24,,,IDR,"Rp95.237,58",95237.58,,8660,,,95237.58
6693017,,3/2/2022,Print,SNI20220203-25,SNI-356,SNI20220203-25,,,IDR,"Rp261.371,79",261371.79,,23761,,,261371.79
6693018,,3/2/2022,Print,SNI20220203-26,SNI-346,SNI20220203-26,,,IDR,"Rp179.843,94",179843.94,,16349,,,179843.94
6693019,,3/2/2022,Print,SNI20220203-27,SNI-078,SNI20220203-27,,,IDR,"Rp4.360.780,67",4360780.67,,396433,,,4360780.67
6693020,,4/2/2022,Print,SNI20220204-28,SNI-454,SNI20220204-28,,,IDR,"Rp2.121.764,41",2121764.41,,192886,,,2121764.41
6693021,,4/2/2022,Print,SNI20220204-29,SNI-557,SNI20220204-29,,,IDR,"Rp2.191.518,92",2191518.92,,199232,,,2191518.92
