cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6693175,,14/2/2022,Print,SNI20220214-283,SNI-067,SNI20220214-283,,,IDR,"Rp2.628.695,71",2628695.71,,238970,,,2628695.71
6693176,,14/2/2022,Print,SNI20220214-284,SNI-615,SNI20220214-284,,,IDR,"Rp680.873,33",680873.33,,61898,,,680873.33
6693177,,14/2/2022,Print,SNI20220214-285,SNI-757,SNI20220214-285,,,IDR,"Rp64.744.268,20",64744268.2,,5885841,,,64744268.2
6693178,,15/2/2022,Print,SNI20220215-326,SNI-479,SNI20220215-326,,,IDR,"Rp205.079,00",205079,,18644,,,205079
6693179,,15/2/2022,Print,SNI20220215-327,SNI-224,SNI20220215-327,,,IDR,"Rp129.626,43",129626.43,,11784,,,129626.43
6693180,,15/2/2022,Print,SNI20220215-328,SNI-476,SNI20220215-328,,,IDR,"Rp135.564,50",135564.5,,12324,,,135564.5
6693181,,15/2/2022,Print,SNI20220215-329,SNI-229,SNI20220215-329,,,IDR,"Rp699.380,92",699380.92,,63581,,,699380.92
6693182,,15/2/2022,Print,SNI20220215-330,SNI-226,SNI20220215-330,,,IDR,"Rp475.697,13",475697.13,,43249,,,475697.13
6693183,,15/2/2022,Print,SNI20220215-331,SNI-534,SNI20220215-331,,,IDR,"Rp1.341.953,49",1341953.49,,121997,,,1341953.49
6693184,,15/2/2022,Print,SNI20220215-332,SNI-439,SNI20220215-332,,,IDR,"Rp32.372.135,59",32372135.59,,2942922,,,32372135.59
6693185,,15/2/2022,Print,SNI20220215-333,SNI-079,SNI20220215-333,,,IDR,"Rp1.667.310,61",1667310.61,,151574,,,1667310.61
6693186,,15/2/2022,Print,SNI20220215-334,SNI-680,SNI20220215-334,,,IDR,"Rp206.960,00",206960,,18815,,,206960
6693187,,15/2/2022,Print,SNI20220215-335,SNI-075,SNI20220215-335,,,IDR,"Rp2.385.860,84",2385860.84,,216895,,,2385860.84
6693188,,15/2/2022,Print,SNI20220215-336,SNI-091,SNI20220215-336,,,IDR,"Rp1.744.314,05",1744314.05,,158575,,,1744314.05
6693189,,15/2/2022,Print,SNI20220215-337,SNI-092,SNI20220215-337,,,IDR,"Rp355.942,62",355942.62,,32358,,,355942.62
6693190,,15/2/2022,Print,SNI20220215-338,SNI-266,SNI20220215-338,,,IDR,"Rp168.508,41",168508.41,,15317,,,168508.41
6693191,,15/2/2022,Print,SNI20220215-339,SNI-522,SNI20220215-339,,,IDR,"Rp67.263,80",67263.8,,6116,,,67263.8
6693192,,15/2/2022,Print,SNI20220215-340,SNI-008,SNI20220215-340,,,IDR,"Rp45.675,40",45675.4,,4153,,,45675.4
6693193,,15/2/2022,Print,SNI20220215-341,SNI-426,SNI20220215-341,,,IDR,"Rp21.692.669,03",21692669.03,,1972062,,,21692669.03
6693194,,15/2/2022,Print,SNI20220215-342,SNI-005,SNI20220215-342,,,IDR,"Rp88.130,00",88130,,8012,,,88130
6693195,,15/2/2022,Print,SNI20220215-343,SNI-090,SNI20220215-343,,,IDR,"Rp272.489,60",272489.6,,24770,,,272489.6
6693196,,15/2/2022,Print,SNI20220215-344,SNI-258,SNI20220215-344,,,IDR,"Rp263.148,37",263148.37,,23922,,,263148.37
