cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6533526,SNI20220531-1372,31/5/2022,Print,SNI20220531-1372,SNI-534,SNI-534,,,IDR,"Rp844.694,91",844694.91,,83697,,,844694.91
6533527,SNI20220531-1373,31/5/2022,Print,SNI20220531-1373,164871,SNI-943,,,IDR,"Rp495.591,28",495591.28,,49109,,,495591.28
6533528,SNI20220531-1374,31/5/2022,Print,SNI20220531-1374,138612,SNI-945,,,IDR,"Rp88.042,53",88042.53,,8725,,,88042.53
6533529,SNI20220531-1375,31/5/2022,Print,SNI20220531-1375,SNI-966,SNI-966,,,IDR,"Rp84.811,46",84811.46,,8403,,,84811.46
6533530,SNI20220531-1376,31/5/2022,Print,SNI20220531-1376,131746,SNI-228,,,IDR,"Rp544.379,04",544379.04,,53940,,,544379.04
6533531,SNI20220531-1377,31/5/2022,Print,SNI20220531-1377,1108,SNI-229,,,IDR,"Rp713.649,92",713649.92,,70717,,,713649.92
6533532,SNI20220531-1378,31/5/2022,Print,SNI20220531-1378,SNI-475,SNI-475,,,IDR,"Rp222.288,61",222288.61,,22026,,,222288.61
6533533,SNI20220531-1379,31/5/2022,Print,SNI20220531-1379,7172,SNI-226,,,IDR,"Rp490.927,98",490927.98,,48653,,,490927.98
6533534,SNI20220531-1380,31/5/2022,Print,SNI20220531-1380,SNI-225,SNI-225,,,IDR,"Rp635.115,00",635115,,62942,,,635115
6533535,SNI20220531-1381,31/5/2022,Print,SNI20220531-1381,SNI-079,SNI-079,,,IDR,"Rp916.754,08",916754.08,,90849,,,916754.08
6533536,SNI20220531-1382,31/5/2022,Print,SNI20220531-1382,BLT-602,SNI-015,,,IDR,"Rp12.134.868,34",12134868.34,,1202555,,,12134868.34
6533537,SNI20220531-1383,31/5/2022,Print,SNI20220531-1383,11146,SNI-058,,,IDR,"Rp22.441.201,95",22441201.95,,2223903,,,22441201.95
6533538,SNI20220531-1384,31/5/2022,Print,SNI20220531-1384,SNI-158,SNI-168,,,IDR,"Rp4.652.522,93",4652522.93,,461059,,,4652522.93
6533539,SNI20220531-1385,31/5/2022,Print,SNI20220531-1385,48507,SNI-393,,,IDR,"Rp17.293.966,57",17293966.57,,1713818,,,17293966.57
6533540,SNI20220531-1386,31/5/2022,Print,SNI20220531-1386,SNI-148,SNI-148,,,IDR,"Rp3.599.090,32",3599090.32,,356668,,,3599090.32
6533541,SNI20220531-1387,31/5/2022,Print,SNI20220531-1387,SNI-488,SNI-488,,,IDR,"Rp5.813.984,76",5813984.76,,576161,,,5813984.76
6533542,SNI20220531-1388,31/5/2022,Print,SNI20220531-1388,SNI-149,SNI-149,,,IDR,"Rp5.666.280,10",5666280.1,,561525,,,5666280.1
6533543,SNI20220531-1389,31/5/2022,Print,SNI20220531-1389,SNI-169,SNI-169,,,IDR,"Rp8.028.161,81",8028161.81,,795583,,,8028161.81
6533544,SNI20220531-1390,31/5/2022,Print,SNI20220531-1390,14505,SNI-242,,,IDR,"Rp5.382.329,03",5382329.03,,533383,,,5382329.03
6533545,SNI20220531-1405,31/5/2022,Print,SNI20220531-1405,SNI-568,SNI-568,,,IDR,"Rp11.127.300,00",11127300,,1102706,,,11127300
