cekNo,External ID,date,Print,documentNumber,Name,PO/Withdrawal Number,Tracking Numbers,Memo,Currency,Amount (Foreign Currency),Amount,PROC. GA NON MAINTENANCE,Amount (Transaction Tax Total),Tax Item,Amount (Tax),Absolute Value of Amount
6593831,SNI20220310-263,10/3/2022,Print,SNI20220310-263,SNI-401,SNI-401,,,IDR,"Rp478.553,50",478553.5,,43507,,,478553.5
6593832,SNI20220310-264,10/3/2022,Print,SNI20220310-264,SNI-757,SNI-757,,,IDR,"Rp21.581.420,44",21581420.44,,1961943,,,21581420.44
6593833,SNI20220310-265,10/3/2022,Print,SNI20220310-265,17030,SNI-439,,,IDR,"Rp20.841.829,88",20841829.88,,1894713,,,20841829.88
6593834,SNI20220310-266,10/3/2022,Print,SNI20220310-266,109863,SNI-425,,,IDR,"Rp922.929,13",922929.13,,83902,,,922929.13
6593835,SNI20220310-267,10/3/2022,Print,SNI20220310-267,SNI-400,SNI-400,,,IDR,"Rp131.915,58",131915.58,,11992,,,131915.58
6593836,SNI20220310-268,10/3/2022,Print,SNI20220310-268,119200,SNI-050,,,IDR,"Rp1.297.784,95",1297784.95,,117981,,,1297784.95
6593837,SNI20220310-269,10/3/2022,Print,SNI20220310-269,SNI-399,SNI-399,,,IDR,"Rp83.201,00",83201,,7565,,,83201
6593838,SNI20220310-270,10/3/2022,Print,SNI20220310-270,5162,SNI-902,,,IDR,"Rp179.843,36",179843.36,,16347,,,179843.36
6593839,SNI20220310-271,10/3/2022,Print,SNI20220310-271,SNI-199,SNI-199,,,IDR,"Rp331.506,99",331506.99,,30138,,,331506.99
6593840,SNI20220311-272,11/3/2022,Print,SNI20220311-272,131746,SNI-228,,,IDR,"Rp307.280,06",307280.06,,27934,,,307280.06
6593841,SNI20220311-273,11/3/2022,Print,SNI20220311-273,SNI-063,SNI-063,,,IDR,"Rp2.673.442,14",2673442.14,,243040,,,2673442.14
6593842,SNI20220311-274,11/3/2022,Print,SNI20220311-274,SNI-067,SNI-067,,,IDR,"Rp1.967.903,33",1967903.33,,178899,,,1967903.33
6593843,SNI20220311-275,11/3/2022,Print,SNI20220311-275,SNI-447,SNI-447,,,IDR,"Rp449.565,28",449565.28,,40870,,,449565.28
