Transaction,TransactionNumber,TransactionDate,Created At,Account Number,InternalIDAccHeader,Account,Accunt Line,InternalIdAccountline ,Description,Debit,Credit
Bank Deposit,10146,19/01/2022,created on 27/01/2022 10:19:28,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,4.27,0
Bank Deposit,10151,19/01/2022,created on 28/01/2022 10:12:56,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,128,0
Bank Deposit,10142,20/01/2022,created on 22/01/2022 13:22:20,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,500000000,0
Bank Deposit,10147,20/01/2022,created on 27/01/2022 10:34:30,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,98.14,0
Bank Deposit,10148,20/01/2022,created on 27/01/2022 10:37:38,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.07,0
Bank Deposit,10152,20/01/2022,created on 28/01/2022 10:25:54,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,86,0
Bank Deposit,10179,20/01/2022,created on 09/02/2022 19:17:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.56,0
Bank Deposit,10149,21/01/2022,created on 27/01/2022 10:48:24,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,5.98,0
Bank Deposit,10153,21/01/2022,created on 28/01/2022 10:30:02,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,71,0
Bank Deposit,10175,24/01/2022,created on 04/02/2022 10:41:05,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,500000000,0
Bank Deposit,10155,25/01/2022,created on 01/02/2022 13:04:10,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,64,0
Bank Deposit,10165,25/01/2022,created on 02/02/2022 14:58:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,36,0
Bank Deposit,10170,25/01/2022,created on 02/02/2022 17:02:58,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,34,0
Bank Deposit,10173,25/01/2022,created on 04/02/2022 10:38:40,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,1358528195,0
Bank Deposit,10174,25/01/2022,created on 04/02/2022 10:40:05,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,50281592.02,0
Bank Deposit,10169,26/01/2022,created on 02/02/2022 17:00:42,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,11,0
Bank Deposit,10154,27/01/2022,created on 31/01/2022 16:54:35,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - ROUNDING,1,0
Bank Deposit,10156,27/01/2022,created on 01/02/2022 13:35:14,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,263.2,0
Bank Deposit,10168,27/01/2022,created on 02/02/2022 16:59:31,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,12,0
Bank Deposit,10157,28/01/2022,created on 01/02/2022 13:40:49,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,98.22,0
Bank Deposit,10176,28/01/2022,created on 04/02/2022 10:44:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,10000000,0
Bank Deposit,10177,28/01/2022,created on 04/02/2022 10:44:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - PEMBAYARAN CONSIGNMENT SNI,90000000,0
Bank Deposit,10158,31/01/2022,created on 01/02/2022 13:52:12,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,34.86,0
Bank Deposit,10159,31/01/2022,created on 01/02/2022 13:53:16,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,40.04,0
Bank Deposit,10166,31/01/2022,created on 02/02/2022 16:55:38,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,10,0
Bank Deposit,10167,31/01/2022,created on 02/02/2022 16:58:20,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,70,0
