Transaction,TransactionNumber,TransactionDate,Created At,Account Number,InternalIDAccHeader,Account,Accunt Line,InternalIdAccountline,Description,Debit,Credit,Credit New
Bank Deposit,10180,3/2/2022,created on 19/02/2022 08:59:36,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,89.43,0,
Bank Deposit,10181,3/2/2022,created on 19/02/2022 09:05:39,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,7,0,
Bank Deposit,10209,4/2/2022,created on 02/03/2022 19:36:31,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,4.76,0,
Bank Deposit,10182,8/2/2022,created on 19/02/2022 09:19:34,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,67.59,0,
Bank Deposit,10186,9/2/2022,created on 21/02/2022 11:36:14,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,61,0,
Bank Deposit,10183,10/2/2022,created on 21/02/2022 10:08:34,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,45.77,0,
Bank Deposit,10184,11/2/2022,created on 21/02/2022 10:18:47,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,82.34,0,
Bank Deposit,10185,11/2/2022,created on 21/02/2022 10:23:02,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.04,0,
Bank Deposit,10187,11/2/2022,created on 21/02/2022 11:37:27,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,88,0,
Bank Deposit,10188,15/02/2022,created on 21/02/2022 11:38:15,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,56,0,
Bank Deposit,10189,15/02/2022,created on 21/02/2022 11:39:13,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,20.1,0,
Bank Deposit,10190,15/02/2022,created on 22/02/2022 10:47:46,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - rounding,1,0,
Bank Deposit,10191,15/02/2022,created on 22/02/2022 10:48:03,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - rounding,1.5,0,
Bank Deposit,10210,15/02/2022,created on 02/03/2022 19:50:17,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,20,0,
Bank Deposit,10193,16/02/2022,created on 23/02/2022 12:01:44,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,91.23,0,
Bank Deposit,10194,16/02/2022,created on 23/02/2022 12:06:57,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,8.44,0,
Bank Deposit,10196,17/02/2022,created on 23/02/2022 14:00:45,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,50,0,
