date,Transaction Type,transactionNumber,Display Name,internalIdVendor,Status By Today,memo,dueDate,Warehouse,locationId,Product Name,Reference Number,productCode,Description,qty,unit,unitPrice,rate,discountLine,Witholding Amount,Company Name,Tax Number,Taxable Amount per Line,Total per line,Discount Amount,Discount %,Tax Rate,taxRateId,Tax Amount,noPo,internLIdPO,amount,grossAmount,Status 
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.741,9/2/2022,Sedati,14,**Agarasa Chocolate 22g - Inner Box,,AGR-0001,,5,Karton,189244,188865.51,0.20%,0,,,944327.56,944327.56,0,0,10,5,94432.76,10017,6422345,944327.56,1038760.316,10022
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.742,9/2/2022,Sedati,14,**Agarasa Strawberry 10g - Inner Box,,AGR-0005,,5,Karton,160776,160454.45,0.20%,0,,,802272.24,802272.24,0,0,10,5,80227.22,10017,6422345,802272.24,882499.464,10022
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.743,9/2/2022,Sedati,14,**Nutrijell Plain 15g,,NJL-0031,,15,Karton,463529,462601.94,0.20%,0,,,6939029.13,6939029.13,0,0,10,5,693902.91,10017,6422345,6939029.13,7632932.043,10022
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.744,9/2/2022,Sedati,14,**Nutrijell Ekonomis Coklat 20gr,,NJL-0007,,75,Karton,257620,257104.76,0.20%,0,,,19282857,19282857,0,0,10,5,1928285.7,10017,6422345,19282857,21211142.7,10022
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.745,9/2/2022,Sedati,14,**Nutrijell Ekonomis Cincau 10g,,NJL-0033,,50,Karton,176730,176376.54,0.20%,0,,,8818827,8818827,0,0,10,5,881882.7,10017,6422345,8818827,9700709.7,10022
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.746,9/2/2022,Sedati,14,**Nutrijell Ekonomis Blueberry 10g,,NJL-0044,,75,Karton,176730,176376.54,0.20%,0,,,13228240.5,13228240.5,0,0,10,5,1322824.05,10017,6422345,13228240.5,14551064.55,10022
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.747,9/2/2022,Sedati,14,**Nutrijell Ekonomis Anggur 10g,,NJL-0043,,50,Karton,176730,176376.54,0.20%,0,,,8818827,8818827,0,0,10,5,881882.7,10017,6422345,8818827,9700709.7,10022
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.748,9/2/2022,Sedati,14,**Nutrijell Ekonomis Jambu 10g,,NJL-0034,,75,Karton,176730,176376.54,0.20%,0,,,13228240.5,13228240.5,0,0,10,5,1322824.05,10017,6422345,13228240.5,14551064.55,10022
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.749,9/2/2022,Sedati,14,**Nutrijell Ekonomis Melon 10g,,NJL-0035,,25,Karton,176730,176376.54,0.20%,0,,,4409413.5,4409413.5,0,0,10,5,440941.35,10017,6422345,4409413.5,4850354.85,10022
9/2/2022,Purchase Invoice,10043,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota amount to transfer Rp634.541.750,9/2/2022,Sedati,14,**Nutrijell Ekonomis Leci 10g,,NJL-0036,,25,Karton,176730,176376.54,0.20%,0,,,4409413.5,4409413.5,0,0,10,5,440941.35,10017,6422345,4409413.5,4850354.85,10022
