date,Transaction Type,transactionNumber,Display Name,internalIdVendor,Status By Today,memo,dueDate,Warehouse,locationId,Product Name,Reference Number,productCode,Description,qty,unit,unitPrice,rate,discountLine,Witholding Amount,Company Name,Tax Number,Taxable Amount per Line,Total per line,Discount Amount,Discount %,Tax Rate,taxRateId,Tax Amount,noPo,internLIdPO,amount,grossAmount,Status 
9/2/2022,Purchase Invoice,10044,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota. amount to transfer Rp634.541.739,9/2/2022,Sedati,14,**Pop Ice Thunder Choco Malt 25g,,POP-0052,,252,Karton,190700,190318.6,0.20%,0,,,47960287.2,47960287.2,0,0,10,5,4796028.72,10017,6422345,47960287.2,52756315.92,10017
9/2/2022,Purchase Invoice,10044,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota. amount to transfer Rp634.541.739,9/2/2022,Sedati,14,**Nutricake Brownies Chocolate 230g,,NCK-0002,,5,Karton,281782,281218.44,0.20%,0,,,1406092.18,1406092.18,0,0,10,5,140609.22,10017,6422345,1406092.18,1546701.398,10017
9/2/2022,Purchase Invoice,10044,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota. amount to transfer Rp634.541.739,9/2/2022,Sedati,14,**Nutricake Brownies Cheese 230g,,NCK-0004,,5,Karton,281782,281218.44,0.20%,0,,,1406092.18,1406092.18,0,0,10,5,140609.22,10017,6422345,1406092.18,1546701.398,10017
9/2/2022,Purchase Invoice,10044,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota. amount to transfer Rp634.541.739,9/2/2022,Sedati,14,**Pop Ice Thunder Choco Malt 25g,,POP-0052,,126,Karton,190700,190318.6,0.20%,0,,,23980143.6,23980143.6,0,0,10,5,2398014.36,10017,6422345,23980143.6,26378157.96,10017
14/02/2022,Purchase Invoice,10045,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota. amount to transfer Rp634.541.739,14/02/2022,Sedati,14,**Pop Ice Avocado 25g,,POP-0055,,63,Karton,190700,190318.6,0.20%,0,,,11990071.8,11990071.8,0,0,10,5,1199007.18,10017,6422345,11990071.8,13189078.98,10017
14/02/2022,Purchase Invoice,10045,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota. amount to transfer Rp634.541.739,14/02/2022,Sedati,14,**Pop Ice Anggur 25g,,POP-0078,,11,Karton,190700,190318.6,0.20%,0,,,2093504.6,2093504.6,0,0,10,5,209350.46,10017,6422345,2093504.6,2302855.06,10017
14/02/2022,Purchase Invoice,10045,PT Forisa Nusapersada,668,Paid,Dibayarkan sesuai dengan lampiran nota. amount to transfer Rp634.541.739,14/02/2022,Sedati,14,**Pop Ice Thunder Choco Malt 25g,,POP-0052,,126,Karton,190700,190318.6,0.20%,0,,,23980143.6,23980143.6,0,0,10,5,2398014.36,10017,6422345,23980143.6,26378157.96,10017
14/02/2022,Purchase Invoice,10047,PT Forisa Nusapersada,668,Paid,mohon dibayarkan sesuai dengan amount to transfer pada lampiran exposure-nya. Rp515.002.133 (krn ada selisih pembulatan pada sistemnya),14/02/2022,Sedati,14,**Pop Ice Thunder Choco Malt 25g,,POP-0052,,540,Karton,190700,190318.6,0.20%,0,,,102772044,102772044,0,0,10,5,10277204.4,10018,6422220,102772044,113049248.4,10018
14/02/2022,Purchase Invoice,10048,PT Forisa Nusapersada,668,Paid,mohon dibayarkan sesuai dengan amount to transfer pada lampiran exposure-nya. Rp515.002.133 (krn ada selisih pembulatan pada sistemnya),14/02/2022,Sedati,14,**Pop Ice Doger 25g,,POP-0062,,63,Karton,190700,190318.6,0.20%,0,,,11990071.8,11990071.8,0,0,10,5,1199007.18,10018,6422220,11990071.8,13189078.98,10018
14/02/2022,Purchase Invoice,10048,PT Forisa Nusapersada,668,Paid,mohon dibayarkan sesuai dengan amount to transfer pada lampiran exposure-nya. Rp515.002.133 (krn ada selisih pembulatan pada sistemnya),14/02/2022,Sedati,14,**Pop Ice Avocado 25g,,POP-0055,,693,Karton,190700,190318.6,0.20%,0,,,131890789.8,131890789.8,0,0,10,5,13189078.98,10018,6422220,131890789.8,145079868.8,10018
