Date,Transaction Type,Transaction Number,Display Name,Customer ID,Status By Today,Warehouse,Location ID,Reference Number,Product Name,Product Code,Item Discount Header,Rate Header,Description,Quantity,Unit,Unit Price,Total Line,Discount Line %,Discount Rate,Tax Rate,Tax Rate ID,Total per line,Discount Amount,Tax Amount,Taxable Amount per Line,Discount %,Company Name,Rate,Gross Amount,Gross Amt New
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,**Nutrijell Coklat 30g,NJL-0008,Promotion Discount,-2%,,2,Karton,620526.3636,1241052.727,3.00%,3,10,5,1203821.145,86549.29055,117974.4723,1179744.723,2,,601910.5727,1321795.618,1365158
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,**Nutrijell Ekonomis Coklat 20gr,NJL-0007,Promotion Discount,-2%,,1,Karton,283124.5455,283124.5455,3.00%,3,10,5,274630.8091,86549.29055,26913.81929,269138.1929,2,,274630.8091,301544.6284,311437
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,**Nutrijell Pudding Susu Vanilla 140g,NJL-0016,Promotion Discount,-2%,,2,Karton,231818.1818,463636.3636,3.00%,3,10,5,449727.2727,86549.29055,44073.27273,440732.7273,2,,224863.6364,493800.5455,510000
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,**Nutrijell Mangga 15g,NJL-0028,Promotion Discount,-2%,,2,Karton,509372.7273,1018745.455,3.00%,3,10,5,988183.0909,86549.29055,96841.94291,968419.4291,2,,494091.5455,1085025.034,1120620
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,**Nutrijell Jeruk 15g,NJL-0029,Promotion Discount,-2%,,1,Karton,509372.7273,509372.7273,3.00%,3,10,5,494091.5455,86549.29055,48420.97145,484209.7145,2,,494091.5455,542512.5169,560310
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,**Nutrijell Leci 15g,NJL-0027,Promotion Discount,-2%,,1,Karton,509372.7273,509372.7273,3.00%,3,10,5,494091.5455,86549.29055,48420.97145,484209.7145,2,,494091.5455,542512.5169,560310
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,**Nutrijell Balanced Color Sirsak 15g,NJL-0010,Promotion Discount,-2%,,1,Karton,435999.0909,435999.0909,3.00%,3,10,5,422919.1182,86549.29055,41446.07358,414460.7358,2,,422919.1182,464365.1918,479599
3/1/2022,Sales Order,SNI20220103-8,Sumber kehidupan,32325,Closed,Sedati,14,SNI-384,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-10,TK CAK TO,32154,Closed,Sedati,14,SNI-213,**Pop Ice Chocolate 25g,POP-0051,Promotion Discount,-2%,,5,Karton,208518.1818,1042590.909,3.00%,3,10,5,1011313.182,44497.78,99108.69182,991086.9182,2,,202262.6364,1110421.874,1146850
3/1/2022,Sales Order,SNI20220103-10,TK CAK TO,32154,Closed,Sedati,14,SNI-213,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-10,TK CAK TO,32154,Closed,Sedati,14,SNI-213,**Pop Ice Strawberry 25g,POP-0058,Promotion Discount,-2%,,2,Karton,208518.1818,417036.3636,3.00%,3,10,5,404525.2727,44497.78,39643.47673,396434.7673,2,,202262.6364,444168.7495,458740
3/1/2022,Sales Order,SNI20220103-10,TK CAK TO,32154,Closed,Sedati,14,SNI-213,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-10,TK CAK TO,32154,Closed,Sedati,14,SNI-213,**Pop Ice Taro 25g,POP-0053,Promotion Discount,-2%,,1,Karton,208518.1818,208518.1818,3.00%,3,10,5,202262.6364,44497.78,19821.73836,198217.3836,2,,202262.6364,222084.3747,229370
3/1/2022,Sales Order,SNI20220103-10,TK CAK TO,32154,Closed,Sedati,14,SNI-213,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-10,TK CAK TO,32154,Closed,Sedati,14,SNI-213,**Pop Ice Lychee 25g,POP-0073,Promotion Discount,-2%,,1,Karton,208518.1818,208518.1818,3.00%,3,10,5,202262.6364,44497.78,19821.73836,198217.3836,2,,202262.6364,222084.3747,229370
3/1/2022,Sales Order,SNI20220103-10,TK CAK TO,32154,Closed,Sedati,14,SNI-213,,Promotion Discount,Promotion Discount,-2%,,,,-3%,0,3.00%,3,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-10,TK CAK TO,32154,Closed,Sedati,14,SNI-213,**Pop Ice Vanilla Blue 25g,POP-0061,Promotion Discount,-2%,,2,Karton,208518.1818,417036.3636,3.00%,3,10,5,404525.2727,44497.78,39643.47673,396434.7673,2,,202262.6364,444168.7495,458740
