date,Transaction Type,transactionNumber,Display Name,internalIdVendor,Status By Today,memo,dueDate,Warehouse,locationId,Product Name,Reference Number,productCode,Description,qty,unit,unitPrice,rate,discountLine,Witholding Amount,Company Name,Tax Number,Taxable Amount per Line,Total per line,Discount Amount,Discount %,Tax Rate,taxRateId,Tax Amount,noPo,internLIdPO,amount,grossAmount,Status 
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Chocolate 25g,,POP-0051,,441,Karton,190700,190318.60,0.20%,0,,,83930502.60,83930502.60,0,0,10,5,8393050.26,10013,6430610,83930502.6,92323552.86,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Taro 25g,,POP-0053,,50,Karton,190700,190318.60,0.20%,0,,,9515930.00,9515930.00,0,0,10,5,951593.00,10013,6430610,9515930,10467523,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Vanilla Blue 25g,,POP-0061,,63,Karton,190700,190318.60,0.20%,0,,,11990071.80,11990071.80,0,0,10,5,1199007.18,10013,6430610,11990071.8,13189078.98,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Doger 25g,,POP-0062,,20,Karton,190700,190318.60,0.20%,0,,,3806372.00,3806372.00,0,0,10,5,380637.20,10013,6430610,3806372,4187009.2,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Permen Karet 25g,,POP-0063,,378,Karton,190700,190318.60,0.20%,0,,,71940430.80,71940430.80,0,0,10,5,7194043.08,10013,6430610,71940430.8,79134473.88,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Avocado 25g,,POP-0055,,189,Karton,190700,190318.60,0.20%,0,,,35970215.40,35970215.40,0,0,10,5,3597021.54,10013,6430610,35970215.4,39567236.94,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Durian 25g,,POP-0066,,50,Karton,190700,190318.60,0.20%,0,,,9515930.00,9515930.00,0,0,10,5,951593.00,10013,6430610,9515930,10467523,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Anggur 25g,,POP-0078,,46,Karton,190700,190318.60,0.20%,0,,,8754655.60,8754655.60,0,0,10,5,875465.56,10013,6430610,8754655.6,9630121.16,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Melon 25g,,POP-0056,,50,Karton,190700,190318.60,0.20%,0,,,9515930.00,9515930.00,0,0,10,5,951593.00,10013,6430610,9515930,10467523,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Lychee 25g,,POP-0073,,30,Karton,190700,190318.60,0.20%,0,,,5709558.00,5709558.00,0,0,10,5,570955.80,10013,6430610,5709558,6280513.8,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Strawberry 25g,,POP-0058,,126,Karton,190700,190318.60,0.20%,0,,,23980143.60,23980143.60,0,0,10,5,2398014.36,10013,6430610,23980143.6,26378157.96,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Yogurt Strawberry 25g,,POP-0075,,50,Karton,190700,190318.60,0.20%,0,,,9515930.00,9515930.00,0,0,10,5,951593.00,10013,6430610,9515930,10467523,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Vanilla Latte 25g,,POP-0071,,54,Karton,190700,190318.60,0.20%,0,,,10277204.40,10277204.40,0,0,10,5,1027720.44,10013,6430610,10277204.4,11304924.84,10013
11/1/2022,Purchase Invoice,10025,PT Forisa Nusapersada,668,Paid,EXP DATE : DEC 2023,11/1/2022,Sedati,14,**Pop Ice Mango 25g,,POP-0057,,434,Karton,190700,190318.60,0.20%,0,,,82598272.40,82598272.40,0,0,10,5,8259827.24,10013,6430610,82598272.4,90858099.64,10013
11/1/2022,Purchase Invoice,10026,PT Forisa Nusapersada,668,Paid,EXP DATE : NOV 2023,11/1/2022,Sedati,14,**Anget Sari Wedang Jahe 24g,,ASR-0002,,48,Karton,171700,171356.60,0.20%,0,,,8225116.80,8225116.80,0,0,10,5,822511.68,10013,6430610,8225116.8,9047628.48,10013
11/1/2022,Purchase Invoice,10026,PT Forisa Nusapersada,668,Paid,EXP DATE : NOV 2023,11/1/2022,Sedati,14,**Anget Sari Susu Jahe 25g,,ASR-0001,,50,Karton,178730,178372.54,0.20%,0,,,8918627.00,8918627.00,0,0,10,5,891862.70,10013,6430610,8918627,9810489.7,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Agarasa Chocolate 22g - Inner Box,,AGR-0001,,15,Karton,189244,188865.51,0.20%,0,,,2832982.68,2832982.68,0,0,10,5,283298.27,10013,6430610,2832982.68,3116280.948,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Agarasa Melon 10g - Inner Box,,AGR-0004,,5,Karton,160776,160454.45,0.20%,0,,,802272.24,802272.24,0,0,10,5,80227.22,10013,6430610,802272.24,882499.464,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Plain 15g,,NJL-0031,,10,Karton,463529,462601.94,0.20%,0,,,4626019.42,4626019.42,0,0,10,5,462601.94,10013,6430610,4626019.42,5088621.362,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Ekonomis Cincau 10g,,NJL-0033,,10,Karton,176730,176376.54,0.20%,0,,,1763765.40,1763765.40,0,0,10,5,176376.54,10013,6430610,1763765.4,1940141.94,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Ekonomis Anggur 10g,,NJL-0043,,5,Karton,176730,176376.54,0.20%,0,,,881882.70,881882.70,0,0,10,5,88188.27,10013,6430610,881882.7,970070.97,10013
11/1/2022,Purchase Invoice,10027,PT Forisa Nusapersada,668,Paid,,11/1/2022,Sedati,14,**Nutrijell Ekonomis Jambu 10g,,NJL-0034,,5,Karton,176730,176376.54,0.20%,0,,,881882.70,881882.70,0,0,10,5,88188.27,10013,6430610,881882.7,970070.97,10013
