Date,Transaction Type,Transaction Number,Display Name,Customer ID,Status By Today,Warehouse,Location ID,Reference Number,Product Name,Product Code,Item Discount Header,Rate Header,Description,Quantity,Unit,Unit Price,Total Line,Discount Line %,Discount Rate,Tax Rate,Tax Rate ID,Total per line,Discount Amount,Tax Amount,Taxable Amount per Line,Discount %,Company Name,Rate,Gross Amount,Gross Amt New
3/1/2022,Sales Order,SNI20220103-3,Tk Maju jaya/ TK JAYA,31950,Closed,Sedati,14,SNI-009,**Pop Ice Thunder Choco Malt 25g,POP-0052,Promotion Discount,-1%,,2,Pack,41703.63636,83407.27273,1.00%,1,10,5,82573.2,2064.33,8174.7468,81747.468,1,,41286.6,90747.9468,91748
3/1/2022,Sales Order,SNI20220103-3,Tk Maju jaya/ TK JAYA,31950,Closed,Sedati,14,SNI-009,,Promotion Discount,Promotion Discount,-1%,,,,-1%,0,1.00%,1,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-3,Tk Maju jaya/ TK JAYA,31950,Closed,Sedati,14,SNI-009,**Pop Ice Chocolate 25g,POP-0051,Promotion Discount,-1%,,2,Pack,41703.63636,83407.27273,1.00%,1,10,5,82573.2,2064.33,8174.7468,81747.468,1,,41286.6,90747.9468,91748
3/1/2022,Sales Order,SNI20220103-3,Tk Maju jaya/ TK JAYA,31950,Closed,Sedati,14,SNI-009,,Promotion Discount,Promotion Discount,-1%,,,,-1%,0,1.00%,1,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-3,Tk Maju jaya/ TK JAYA,31950,Closed,Sedati,14,SNI-009,**Pop Ice Vanilla Blue 25g,POP-0061,Promotion Discount,-1%,,1,Pack,41703.63636,41703.63636,1.00%,1,10,5,41286.6,2064.33,4087.3734,40873.734,1,,41286.6,45373.9734,45874
3/1/2022,Sales Order,SNI20220103-3,Tk Maju jaya/ TK JAYA,31950,Closed,Sedati,14,SNI-009,,Promotion Discount,Promotion Discount,-1%,,,,-1%,0,1.00%,1,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-4,Kurnia jaya,25421,Partially Sent,Sedati,14,SNI-381,**Pop Ice Chocolate 25g,POP-0051,Promotion Discount,-1%,,3,Pack,41703.63636,125110.9091,1.00%,1,10,5,123859.8,4487.274,12262.1202,122621.202,1,,41286.6,136121.9202,137622
3/1/2022,Sales Order,SNI20220103-4,Kurnia jaya,25421,Partially Sent,Sedati,14,SNI-381,,Promotion Discount,Promotion Discount,-1%,,,,-1%,0,1.00%,1,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-4,Kurnia jaya,25421,Partially Sent,Sedati,14,SNI-381,**Pop Ice Mango 25g,POP-0057,Promotion Discount,-1%,,2,Pack,41703.63636,83407.27273,1.00%,1,10,5,82573.2,4487.274,8174.7468,81747.468,1,,41286.6,90747.9468,91748
3/1/2022,Sales Order,SNI20220103-4,Kurnia jaya,25421,Partially Sent,Sedati,14,SNI-381,,Promotion Discount,Promotion Discount,-1%,,,,-1%,0,1.00%,1,10,5,,,,,,,,,0
3/1/2022,Sales Order,SNI20220103-4,Kurnia jaya,25421,Partially Sent,Sedati,14,SNI-381,**Pop Ice Taro 25g,POP-0053,Promotion Discount,-1%,,2,Pack,41703.63636,83407.27273,1.00%,1,10,5,82573.2,4487.274,8174.7468,81747.468,1,,41286.6,90747.9468,91748
3/1/2022,Sales Order,SNI20220103-4,Kurnia jaya,25421,Partially Sent,Sedati,14,SNI-381,,Promotion Discount,Promotion Discount,-1%,,,,-1%,0,1.00%,1,10,5,,,,,,,,,0
