invid,pyid,debit,credit
6669534,,230896.86,0
6669726,6716555,9146592.4,0
123866,,534872,0
123867,,2512200,0
123868,,142677,0
6669519,6716612,27657553.21,0
6669521,6716620,20253168.88,0
6669719,6716606,4815497.2,0
6669721,6716607,1653973.4,0
6669522,6716614,857628.73,0
6669718,6716621,477984.27,0
6669525,6716611,246165.84,0
6669717,6716623,13310743.69,0
6669722,6716616,453651.8,0
6669724,6716617,144354.98,0
6669710,6716624,26433108.29,0
6670233,6716647,26133121.14,0
6669512,6716649,10944928.31,0
6669506,6700640,3960380.21,0
6669509,6716618,3080295.72,0
6669507,6716628,4603343.55,0
6669706,6716627,3852614.77,0
6670005,6700428,1760168.98,0
6669716,,225691.77,0
6669714,6716630,499826.46,0
6670006,6716632,1100105.61,0
6669708,6716633,235168.13,0
6670234,6716635,1024372.09,0
6669510,6716637,740737.9,0
6669707,6716645,2395389.59,0
6669513,6716641,1398227.74,0
6669711,6716643,517963.25,0
6670000,6716660,19476280.93,0
6670001,6716662,5691362.72,0
6670225,6716653,1436576.11,0
6670228,6716654,880084.49,0
6670232,6716663,239750.33,0
6670002,6716652,675071.04,0
6670004,6716664,671632.3,0
6670226,6716646,1760168.98,0
6669996,6716665,18619568.89,0
6669989,6700413,33101953.44,0
6670221,6700402,9193739.78,0
6669991,6700401,2403239.73,0
6669986,6700412,11601624.01,0
6669988,6691586,540703.53,0
6670220,6691585,589807.52,0
6670215,6699327,302871.48,0
6669987,6699328,147986.28,0
6670223,6700394,288485.57,0
6670213,6700396,314914.18,0
6670214,6700397,362921.44,0
6669992,6700398,76322.35,0
6669995,6700399,574916.27,0
6669985,6700400,214029.06,0
6670218,6700403,602882.28,0
6670107,6700404,453651.8,0
6669993,6700405,136109.43,0
6669994,6700406,45369.81,0
6669990,6700407,408328.28,0
6670106,6700408,277748.58,0
6670222,6700409,176926.26,0
6670217,6700410,1419946.88,0
6669984,6700395,426679.26,0
6670216,6700411,1120268.01,0
6669982,,1694611.67,0
