invid,pyid,debit,credit
6668940,6716159,162515.52,0
6668740,6716160,683882.22,0
6668742,6716163,64826.19,0
6668941,6716164,301854.96,0
6668741,6716165,227076.3,0
6668747,6716166,250242.07,0
6668938,6716167,499851,0
6668942,6716170,2005201.6,0
6668923,6716191,421724.6,0
6668719,6716199,179844.43,0
6668735,6716200,222730.67,0
6668921,6716201,1739540.24,0
6668720,6716205,648675.72,0
6668729,6716207,224805.54,0
6668925,6716209,322115.75,0
6666533,6716210,3908919.48,0
6668917,6716301,1610489,0
6668917,6716301,2543668,0
6668922,6716213,31631740.74,0
6668919,6716217,6207624.28,0
6668716,6716220,584434.76,0
6668914,6716221,1731346.79,0
6668711,6716226,1393455.57,0
6668910,6716228,269766.64,0
6668702,6716235,449565.2,0
6668901,6716236,269739.12,0
6668897,6716238,35251.92,0
6668905,6716247,98398.86,0
6668755,6716253,6943942.88,0
6669288,6716256,9064197.79,0
6668903,6716260,8632569.32,0
6668713,6716261,309029.28,0
6668929,6716262,224805.54,0
6669295,6716273,497331.38,0
6669443,6716275,662627.97,0
6669294,6716276,215586.72,0
6669286,6716283,21365609.07,0
6669283,6716286,1787229.2,0
6669418,6716297,44686965.35,0
6668896,6716298,224782.6,0
6668954,6716300,1940979.76,0
6668917,6716301,2015790,0
6669420,6716302,8511802.92,0
6669273,6716308,226825.9,0
6669267,6716312,70433.91,0
6669421,6716314,527313.4,0
6669419,6716315,81665.1,0
6669422,6716317,137484.27,0
6669423,6716318,360261.24,0
6669276,6716319,35572.68,0
6669271,6716320,211299.76,0
6669272,6716321,71145.36,0
6669426,6716322,1374733.34,0
6669228,6716408,1252800,0
6669228,6716408,659000,0
6669279,6716324,228910.2,0
6669258,6716326,35572.68,0
6669416,6716327,105650.86,0
6669405,6716329,123246.76,0
6669407,6716330,651003.22,0
6669263,6716332,21777600.95,0
6669254,6716339,217483.56,0
6669414,6716341,137728.55,0
6669264,6716346,90739.62,0
6669413,6716347,217505.75,0
6667063,6716348,143826.73,0
6667068,6716349,63614.43,0
6669262,6716352,70433.91,0
6669411,6716355,10142431.55,0
6667065,6716358,763338.59,0
6667056,6716359,565015.89,0
6669240,6716361,251913.14,0
6669241,6716362,226849.05,0
6667055,6716363,3919968.17,0
6669237,6716364,82218.51,0
6667062,6716365,231500.6,0
6667051,6716371,262039.26,0
6669236,6716376,106718.04,0
6667049,6716377,226849.05,0
6667048,6716382,310567.23,0
6669403,6716386,390035.1,0
6669247,6716388,250683.84,0
6667040,6716390,181479.24,0
6667045,6716392,317556.26,0
6667043,6716394,272218.85,0
6669231,6716395,127228.86,0
6667042,6716397,35572.68,0
6669226,6716398,342617.8,0
6667044,6716399,140867.81,0
6667039,6716403,226825.9,0
6669224,6716404,124504.38,0
6669223,6716405,499826.46,0
6668754,6716410,3924704.2,0
6669208,6716411,8421139.68,0
6669228,6716408,1149500,0
6669228,6716408,1145900,0
6667034,6716414,136095.54,0
6669218,6716416,91656.18,0
6669220,6716417,188915.58,0
6667033,6716419,360224.48,0
6669216,6716421,137484.27,0
6669217,6716422,320796.63,0
6667026,6716423,440803.02,0
6669211,6716424,226502.09,0
6669213,6716425,90739.62,0
6669599,6716435,53359.02,0
6669802,6716436,269117.64,0
6667020,6716437,33627.23,0
6669799,6716438,239195.88,0
