invid,pyid,debit,credit
6669796,6716441,385589.96,0
6669203,6716444,589993.74,0
6669601,6716446,4376888.03,0
6667018,6716447,136109.43,0
6669600,6716448,46645.83,0
6669804,6716449,957727.54,0
6667021,6716452,174710.48,0
6669206,6716453,288162.14,0
6669800,6716455,226825.9,0
6669200,6716456,183312.36,0
6669202,6716457,136109.43,0
6669201,6716461,198445.75,0
6669789,6716474,45828.09,0
6669589,6716475,260078.94,0
6669795,6716476,181479.24,0
6669585,6716477,203602.05,0
6669595,6716479,181479.24,0
6669787,6716484,84823.9,0
6669593,6716485,272191.08,0
6669587,6716487,35572.68,0
6667028,6716489,566560.53,0
6667025,6716490,36171.57,0
6669222,6716492,506908.7,0
6667023,6716495,30192921.16,0
6669581,6716500,159063.8,0
6669780,6716501,578694.9,0
6669580,6716502,668198.3,0
6669578,6716504,10888800.47,0
6669775,6716505,91656.18,0
6669779,6716506,300233.34,0
6669773,6716512,93769.11,0
6669776,6716513,148285.21,0
6669771,6716514,134015.93,0
6669781,6716518,307435.81,0
6669569,6716520,9043790.61,0
6669777,6716521,251479.94,0
6669564,6716522,13445052.65,0
6669767,6716527,323521.52,0
6669764,6716528,226825.9,0
6669570,6716533,90730.36,0
6669761,6716536,516697.16,0
6669560,6716538,362041.4,0
6669561,6716539,850967.32,0
6669559,6716542,22213152.97,0
6669755,6716548,97072.47,0
6669556,6716550,135404.74,0
6669762,6716551,514114.4,0
6669728,6716554,8527641.09,0
6669550,6716560,543433.52,0
6669753,6716561,453651.8,0
6669748,6716563,998981.62,0
6669549,6716565,235455.78,0
6669553,6716568,2177760.1,0
6669552,6716569,72572.94,0
6669752,6716570,3042729.46,0
6669743,6716572,77781.33,0
6669536,6716578,347334.7,0
6669541,6716580,78493.27,0
6669546,6716581,181479.24,0
6669740,6716582,315495.17,0
6669538,6716583,317588.66,0
6669544,6716584,207147.08,0
6669539,6716585,193936.31,0
6669543,6716589,205468.56,0
6669537,6716590,262039.26,0
6669731,6716594,22866481,0
6669732,6716595,225090.75,0
6669530,6716596,303852.56,0
6669531,6716597,317556.26,0
6669734,6716604,188934.86,0
6669720,6716608,236900.3,0
6669520,6716609,449688.68,0
6669723,6716610,262039.26,0
6669523,6716613,150431.49,0
6669518,6716615,247906.68,0
6669709,6716619,17764174.12,0
6669521,6716620,20253168.88,0
6669712,6716625,272218.85,0
6669517,6716626,90739.62,0
6669511,6716629,257890.05,0
6669516,6716631,546001.12,0
6669514,6716634,453651.8,0
6669715,6716636,408328.28,0
6670235,6716638,399074.18,0
6669713,6716639,349051.23,0
6670007,6716640,195944.76,0
6669515,6716642,79286.13,0
6669508,6716644,589807.52,0
6669505,6716648,21777600.95,0
6670231,6716650,623173.18,0
6670227,6716651,451812.38,0
6669998,6716655,139937.49,0
6670003,6716656,1085694.96,0
6669999,6716657,1058215.76,0
6670230,6716658,234226.86,0
6670229,6716659,286508.71,0
6669997,6716661,21777600.95,0
6669996,6716665,18619568.89,0
