invid,pyid,debit,credit
6668706,6716246,13883307.36,0
6668707,6716250,10551978.65,0
6668698,6716249,10507044.17,0
6668903,6716260,8632569.32,0
6668900,6716237,4255570.8,0
6668899,6716212,2174451.05,0
6668700,6716242,89463.47,0
6668699,6716243,240749.26,0
6668898,6716245,615501.4,0
6668904,6716211,11338551.47,0
6668906,6716248,362096.96,0
6668902,6716263,452575.76,0
6668701,6716239,110078.1,0
6668705,6716240,57241.8,0
6668703,6716241,209376.02,0
6669297,6716264,3092482.41,0
6669447,6716267,946528.09,0
6668696,6716266,152317.48,0
6669444,6716269,350302.72,0
6669445,6716270,447317.37,0
6669446,6716268,99348.82,0
6669296,6716265,584065.11,0
6668697,6716271,3272437.65,0
6669298,6716272,39609.64,0
