invid,pyid,debit,credit
6697086,6737344,269766.64,0
6694994,6737348,7985126.62,0
6694993,6737347,3052547.71,0
6697310,6737356,3835013.18,0
6697090,6737351,224805.54,0
6697307,6737345,270284,0
6697093,6737346,631750.14,0
6697088,6737355,90376.37,0
6697308,6737353,132595.61,0
6697087,6737349,246080.34,0
6805068,6836917,181661.04,0
6697084,6737369,4142743.32,0
6697083,6737358,2616469.46,0
6694989,6737362,450493.94,0
6697079,6737359,125452.03,0
6694986,6737361,404608.68,0
6694988,6737364,578590.41,0
6694991,6737365,359688.86,0
6697081,6737366,95235.34,0
6697080,6737367,172357.97,0
6694987,6737368,134883.32,0
6694983,6737370,1943738.46,0
6694985,6737371,2060024.73,0
6694981,6737372,890139.1,0
6697073,6737380,5857020.29,0
6697076,6737376,767066.32,0
6697078,6737373,211315.38,0
6694980,6737377,103766.85,0
6803589,6836918,224782.6,0
6697075,,375890.13,0
6697077,6737379,224782.6,0
6694979,6737381,180752.73,0
6697072,6737383,224805.54,0
6697069,6737385,179826.08,0
6694977,6737343,11334239,0
6697066,6737398,10790711.65,0
6694975,6737396,10790711.65,0
6694971,6737397,5395355.82,0
6697068,,157298.82,0
6694974,6737389,454831.74,0
6697067,6737390,396908.82,0
6694973,6737391,449611.07,0
6694970,6737394,60945.39,0
6694967,6737419,5158561.4,0
6694968,6737418,2180391.22,0
6697056,6737408,1068166.92,0
6697053,6737399,208328.16,0
6697058,6737400,263594.43,0
6697063,6737401,270284,0
6694965,6737402,221809.5,0
6694960,6737403,172734.41,0
6697054,6737404,92490,0
6697060,6737407,134869.56,0
6694966,6737409,162373.17,0
6694962,6737410,67829.78,0
6694964,6737414,224805.54,0
6694969,6737415,939818.29,0
6697062,6737417,611332.74,0
6694954,6737421,119988467.9,0
6697045,6737425,222534.77,0
6694951,6737427,197641.09,0
6694949,6737428,190437.35,0
6697042,6737429,10790711.65,0
6697049,6737431,2214240.18,0
6697044,6737432,454448.47,0
6694955,6737433,2670417.29,0
6694950,6737434,121092.84,0
6694953,,1291029.62,0
6697046,6737437,10790711.65,0
6694958,6737436,449565.2,0
6697052,6737438,10790711.65,0
6694959,6737439,1118293.43,0
6697050,6737440,674347.8,0
6694956,6737441,356055.64,0
6697051,6737442,64744269.9,0
6697032,,10790711.65,0
6694936,6737446,269739.12,0
6694947,6737448,311422.85,0
6697040,6737490,1392887.72,0
6694946,6737450,138678.21,0
6694941,6737451,1279476.49,0
6694938,6737452,401695.95,0
6694945,6737455,329002.91,0
6694937,6737456,831013.17,0
6697036,6737457,426172.96,0
6694940,6737458,294105.47,0
6697030,6737459,868948.36,0
6697033,6737460,8175578.26,0
6694943,6737461,584434.76,0
6697038,6737463,1423928.96,0
6697035,6737444,11766388.96,0
6697037,6737464,64744269.9,0
6694929,6737465,84504.36,0
6697022,6737467,307569.1,0
6694935,6737468,220408.86,0
6694934,6737470,2025759.57,0
6697025,6737445,728755.06,0
6694931,6737472,179844.43,0
6697018,6737473,924406.56,0
6697021,6737477,620133.22,0
6694924,6737478,98361.45,0
6694927,6737479,480235.28,0
6697020,6737480,314695.64,0
6694930,6737482,277063.94,0
6697023,6737483,626244.32,0
6697024,6737481,228020.52,0
6694926,6737484,224782.6,0
6697026,6737488,1565655.66,0
6694925,6737485,10790711.65,0
6694921,6737493,1486465.66,0
6697016,6737494,263858.6,0
6697013,6737499,44956.52,0
6694919,6737500,76262.62,0
6694922,6737501,404608.68,0
6697012,6737502,1054391.36,0
6697015,6737503,509667.4,0
6697011,,5923256,0
6694914,6737489,42271879.68,0
6697504,6737520,2820046.81,0
