invid,pyid,debit,credit
6666866,6748228,508379.9,0
6666871,6748227,8503525.76,0
6666767,6748232,261407.52,0
6666868,6748233,79994.97,0
6666772,6748234,33405661.85,0
6666771,6748235,385224.38,0
6666769,6748236,224805.54,0
6666768,6748237,398741.92,0
6666766,6748238,927730.72,0
6666453,6748240,1557422.3,0
6666869,6748241,4665006.76,0
6666867,6748242,449565.2,0
6667004,6740756,2136333.83,0
6667007,6740754,255025.98,0
6667010,6740751,1744312.98,0
6667111,6740750,1744312.98,0
6667011,6740746,254419.76,0
6667113,6740745,168091.07,0
6667105,6740744,211196.85,0
6667013,6740743,1747642.29,0
6667003,6740741,874885.61,0
6667005,,1117674.28,0
6667006,6740740,1292406.36,0
6667106,6740739,494521.72,0
6667009,6740737,180752.73,0
6667002,6740736,78322.42,0
6667109,6748243,2717479.42,0
6666998,6740758,358358.89,0
6667095,6740760,436301.32,0
6667098,6740761,134883.32,0
6667092,6740762,134883.32,0
6666994,6740763,2225347.74,0
6666995,6740766,35075.66,0
6667000,6740767,194706.27,0
6667100,,626717.84,0
6667091,6740772,732300.1,0
6666999,6740773,96197.31,0
6666996,6740774,225940.92,0
6667099,6740775,134027.49,0
6667094,6740776,1014465.38,0
6667086,6740777,2090306.66,0
6666987,6740778,14243739.38,0
6667089,6740779,78571.35,0
6666985,6740780,1023659.96,0
6667085,6740782,120671.87,0
6666986,6740783,584494.4,0
6667084,,211150.39,0
6666988,6740785,345365.72,0
6666984,6740786,269739.12,0
6667083,6740787,1029443.94,0
6666989,6740788,868758.52,0
6667088,6740789,273562.74,0
6666990,6740790,407560.05,0
6667090,6740791,9031999.47,0
6667073,6740793,232898.49,0
6667076,6740795,224782.6,0
6666977,6740796,326237.07,0
6667077,6740797,128975.28,0
6666974,6740798,1669272.2,0
6666980,6740875,445069.55,0
6667080,,231103.66,0
6667078,6740800,568659.9,0
6667074,6740801,496659.93,0
6666976,6740802,224782.6,0
6666979,6740803,842663.6,0
6666978,6740804,484631.29,0
6667079,6716055,9030000,0
6667069,6740811,225940.92,0
6666969,6740812,3909044.96,0
6667071,6740814,224805.54,0
6666972,6740810,314695.64,0
6667369,,651312.9,0
6667368,6740816,224782.6,0
6667366,6740817,2598115.28,0
6667365,6740818,182366.25,0
6667470,6740821,739315.68,0
6667370,,566478.44,0
6667467,6740823,129970.08,0
6667468,6740825,138678.21,0
6667469,6740827,170144.38,0
6667360,6740837,194600.56,0
6667357,6740838,361097.26,0
6667461,6740839,266382.27,0
6667361,6740840,179826.08,0
6667456,6740841,187809.7,0
6667354,6740842,168939.54,0
6667358,6740843,60945.39,0
6667460,6740844,60945.39,0
6667455,6740847,1061410.08,0
6667457,6740848,542688.72,0
6667459,6740849,9375682.25,0
6667362,6740851,3083696.15,0
6667454,6740852,1486425.49,0
6667441,,28703292.99,0
6667343,6740856,599265.48,0
6667453,6740884,448509.44,0
6667342,6740864,483074.63,0
6667446,6740873,140670.09,0
6667352,6740863,613079.08,0
6667345,6740861,584494.4,0
