invid,pyid,debit,credit
6667444,6740865,2180391.22,0
6667449,6740882,472031.7,0
6667349,6740872,84146.04,0
6667351,6740870,233682.57,0
6667450,6740867,4324114.95,0
6667448,6740874,899130.4,0
6667348,6740862,575884.26,0
6667447,6740860,1213042.93,0
6667350,6740881,162585.92,0
6667452,6740869,107914.2,0
6667333,6740891,26898908.01,0
6667332,6740909,316952.64,0
6667440,6740899,654056.9,0
6667328,6740908,415965.33,0
6667339,6740907,1296826.58,0
6667329,6740905,653714.94,0
6667334,6740937,1063227.63,0
6667437,6740896,409317.2,0
6667341,6740894,809217.36,0
6667434,6740895,255478.75,0
6667331,6740898,126075.16,0
6667337,6740904,133191.67,0
6667338,6740902,445069.55,0
6667438,6740930,397581.59,0
6667340,6740901,205031.97,0
6667433,6740897,687758.29,0
6667326,6740929,140044.41,0
6667423,6740927,467625.31,0
6667420,6740922,719304.32,0
6667416,6740890,1721441.38,0
6667427,6740921,294185.22,0
6667316,6740935,215290.35,0
6667327,6740934,1100878.1,0
6667425,6740912,224782.6,0
6667324,6740911,239308.05,0
6667417,6740910,1118293.43,0
6667419,6740919,1656467.19,0
6667319,6740916,875433.41,0
6667415,6740913,104264.82,0
6667320,6740933,834621.9,0
6667315,6740920,845632.14,0
6667312,6740954,577635.81,0
6667408,6740953,1117674.28,0
6667412,6740946,224805.54,0
6667307,6740949,404608.68,0
6667310,6740955,2202640.11,0
6667407,6740957,2313884.56,0
6667314,6740956,522871.16,0
6667413,6740948,44956.52,0
6667311,6740958,448880.18,0
6667313,6740944,155984.4,0
6667296,6740961,103222.17,0
6667401,6740959,449565.2,0
6667400,6740960,179826.08,0
6667301,6740962,775725.86,0
6667405,,4989492.17,0
6667298,6740973,2202640.11,0
6667404,6740971,76398.3,0
6667302,6740972,241217.46,0
6667304,6740969,52877.88,0
6667299,6740978,113654.36,0
6667406,6740970,528009.27,0
6667398,6740968,224805.54,0
6667403,6740967,179844.43,0
6667300,6741003,557588.59,0
6667297,6740963,1118293.43,0
6667388,,2848962.34,0
6667292,6740998,134869.56,0
6667285,6740999,954507.01,0
6667392,6740990,410286.52,0
6667290,6740989,180514.82,0
6667391,6740988,121890.78,0
6667389,6740985,274582.86,0
6667383,6741007,574619.08,0
6667291,6741001,674347.8,0
6667294,6740991,674347.8,0
6667393,6740996,243395.74,0
6667289,6740992,126215.32,0
6667384,6741006,644799.77,0
6667386,6741005,78228.81,0
6667293,6740987,88129.8,0
6667286,6740986,146328.93,0
6667385,6740975,2787288.04,0
6667284,6740984,422265,0
6667378,6741013,496521.35,0
6667382,6741014,35609348.44,0
6667280,6741004,45320988.93,0
6667375,6741015,169012.8,0
6667379,,277154.64,0
6667282,6741031,276243.15,0
6667276,6741017,426719.86,0
6667381,6741021,205505.41,0
6667373,6741022,2432122.04,0
6667376,6741023,4142743.32,0
6667374,6741024,2878894.95,0
6667380,6741026,768123.02,0
6667975,6741067,1468074.48,0
6667974,6741068,137935.57,0
6667972,,162141.2,0
6667878,6741069,1363423.04,0
