invid,pyid,debit,credit
6667782,6724607,10790711.65,0
6667882,6724614,1054099.02,0
6667881,6724604,269739.12,0
6667785,6724613,45188.18,0
6667786,6724615,626244.32,0
6667787,6724617,64826.19,0
6667784,6724618,241229.34,0
6667789,6724606,445069.55,0
6667883,6724609,220156.2,0
6667888,6724610,219195.62,0
6668280,6724620,10790711.65,0
6668283,6724643,2398430.34,0
6668176,6724627,1743708.44,0
6668279,6724634,1442205.21,0
6668284,6724646,1112673.87,0
6668275,6724625,285490.39,0
6668285,6724626,539390.45,0
6668276,6724629,595045.22,0
6668177,6724630,230580.29,0
6668178,6724631,666967.42,0
6668277,6724632,224805.54,0
6668274,6724633,51386.94,0
6668183,6724641,3763376.92,0
6668179,6724642,444977.8,0
6668184,6724644,435052.67,0
6668185,6724647,90093.36,0
6655360,6725702,76400,0
6655366,6725717,1523000,0
6655385,6733170,246600,0
6655398,6733238,255000,0
6655402,6733249,829000,0
6668272,6724648,310546.32,0
6668172,6724650,224782.6,0
6668266,6724651,414678.18,0
6668271,6724652,105226.98,0
6668174,6724653,77785.64,0
6668171,6724654,705697.42,0
6668269,6724655,12800935.09,0
6668169,6724656,182471.85,0
6668273,6724657,449611.07,0
6668268,6724658,1571651.24,0
6668170,6724663,314727.75,0
6668167,6724665,60945.39,0
6668267,6724666,212952.21,0
6655428,6733375,386000,0
6655457,6733595,1428500,0
6655458,6733598,150000,0
6668258,6724672,10790711.65,0
6668159,6724668,10790711.65,0
6668259,6724674,10790711.65,0
6668165,6724682,2225347.74,0
6668263,6724690,1112444.5,0
6668262,6724683,618478.98,0
6668158,6724675,148060.9,0
6668265,6724678,103743.5,0
6668162,6724684,268932.58,0
6668156,6724685,90376.37,0
6668261,6724687,179826.08,0
6668264,6724688,187232.42,0
6668161,6724689,179826.08,0
6668160,6732900,6702614,0
6655474,6733627,71400,0
6655487,6733669,177000,0
6655495,6733697,499500,0
6655497,6733700,414500,0
6668153,6724669,36205178.05,0
6668249,6724667,3728414.8,0
6668150,6724697,5395355.82,0
6668254,6724699,1646417.86,0
6668248,6724695,1014580.9,0
6668251,6724693,770172.2,0
6668149,6724691,634209.07,0
6668252,6724692,179826.08,0
6668151,6724694,449565.2,0
6655509,6733822,414500,0
6668240,6724713,1913799.06,0
6668242,6724709,697823.7,0
6668244,6724711,181623.4,0
6668140,6724715,674416.61,0
6668246,6724716,250879.86,0
6668142,6724720,161226.45,0
6668239,6724722,33030.9,0
6668144,6724705,342046.98,0
6668136,6724707,209375.04,0
6668145,6724710,134869.56,0
6668243,6724706,137984.82,0
6668245,6724723,11634997.03,0
6655591,6734034,303000,0
6655607,6734099,680000,0
