invid,pyid,debit,credit
6670025,6700575,6851511.41,0
6675587,6700574,2687049.51,0
6669914,6700576,1731216.36,0
6670013,6700573,307673.97,0
6670413,6700662,1025079.36,0
6675493,6700572,90739.62,0
6675593,6700571,385654.5,0
6669911,6700570,92349.32,0
6670018,6700569,239355.12,0
6669912,6700568,732653.32,0
6670416,6700563,70426.72,0
6670011,6700661,5647749.43,0
6669913,6700564,624065.96,0
6670020,6700566,107706.13,0
6675488,6700567,232468.94,0
6675492,6700560,288275.82,0
6675489,6700586,33873438.75,0
6675591,6700559,5008848.22,0
