invid,pyid,debit,credit
6666562,6748231,272491.56,0
6666870,6748239,134883.32,0
6667001,6725969,1360921.1,0
6667102,6740735,166674.42,0
6667107,6740742,626009.3,0
6667104,6740753,1424222.55,0
6667112,6740755,95309.28,0
6667012,6740757,14675367.84,0
6666992,6740764,163514.36,0
6666997,6740765,133479.2,0
6667097,6740768,241393.4,0
6667096,6740769,4707405.37,0
6667093,6740770,138103.02,0
6666993,6740771,224805.54,0
6667087,6740781,124821.62,0
6666973,6740792,224805.54,0
6666974,6740798,1669272.2,0
6667082,6740799,312054.04,0
6667371,6740813,1090195.61,0
6667465,6740815,51646.47,0
6667463,6740822,237248.89,0
6667467,6740823,129970.08,0
6667464,6740824,2834508.59,0
6667466,6740826,6474426.99,0
6667356,6740845,354940.27,0
6667462,6740846,269766.64,0
6667363,6740850,1493511.38,0
6667362,6740851,3083696.15,0
6667359,6740853,181661.04,0
6667458,6740854,9064197.79,0
6667443,6740855,55032629.41,0
6667442,6740858,224805.54,0
6667346,6740868,5395355.82,0
6667342,6740864,483074.63,0
6667347,6740859,629455.5,0
6667445,6740857,2805585.03,0
6667444,6740865,2180391.22,0
6667344,6740866,3286075.91,0
6667353,6740871,84438.49,0
6667333,6740891,26898908.01,0
6667439,6740906,291650.32,0
6667437,6740896,409317.2,0
6667330,6740893,213471.66,0
6667434,6740895,255478.75,0
6667429,6740900,314727.75,0
6667430,6740892,224805.54,0
6667436,6740903,572746.06,0
6667414,6740926,241217.46,0
6667422,6740924,359688.86,0
6667421,6740889,9251088.46,0
6667426,6740928,187200.09,0
6667325,6740914,241075.89,0
6667322,6740917,2033021.36,0
6667424,6740915,236406.38,0
6667318,6740918,764338.83,0
6667310,6740955,2202640.11,0
6667409,6740947,283626.24,0
6667308,6740950,433106.78,0
6667309,6740952,433520.77,0
6667411,6740951,179844.43,0
6667410,6740945,136245.78,0
6667303,6740966,7561293,0
6667402,6740965,3364742.81,0
6667399,6740974,4427356.76,0
6667406,6740970,528009.27,0
6667306,6740964,2180391.22,0
6667394,6741000,59414.85,0
6667295,6740994,240180.37,0
6667390,6740993,249900,0
6667287,6740997,329499.52,0
6667283,6741002,5450978.05,0
6667280,6741004,45320988.93,0
6667274,6741016,1320589.67,0
6667279,6741018,134883.32,0
6667372,6741019,4709202.06,0
6667377,6741020,404649.97,0
6667374,6741024,2878894.95,0
6667281,6741025,177783.79,0
6667976,6741065,269766.64,0
6667879,6741066,4002160.99,0
6667873,6741073,179844.43,0
6667875,6741074,151696.94,0
6667977,6741070,451567.01,0
6667871,6741079,237230.26,0
6667870,6741087,15797599.93,0
6667867,6741088,5717141.3,0
6667866,6741089,361505.47,0
6667961,6741064,7553498.15,0
6667963,6741106,89922.21,0
6667959,6741104,3488625.95,0
6667950,6741119,90830.52,0
6667955,6741120,185324.17,0
6667956,6741121,181449.83,0
6667855,6741123,566442.91,0
6667851,6741111,227076.3,0
6667948,6741108,52877.88,0
6667953,6741124,1744312.98,0
6667937,6741135,2180391.22,0
6667835,6741129,179844.43,0
6667845,6741142,550649.58,0
6667837,6741147,821725.44,0
6667943,6741136,1184227.1,0
6667945,6741143,2643168.13,0
6667843,6741139,649276.29,0
6667836,6741138,207915.8,0
6667834,6741166,185324.17,0
6667929,6741167,554102.45,0
6667926,6741168,83725.31,0
6667833,6741161,359688.86,0
6667932,6741163,1810883.8,0
6667930,6741159,272491.56,0
6667827,6741162,1023659.96,0
6667917,6741180,249643.23,0
6667823,6741181,350844.9,0
6667915,6741182,7985126.62,0
6667822,6741184,221851.52,0
6667820,6741186,563971.44,0
6667924,6741189,348354.98,0
6667824,6741190,224805.54,0
6667916,6741191,3924704.2,0
6667908,6741201,90376.37,0
6667912,6741204,2731273.74,0
6667808,6741206,404649.97,0
6667913,6741208,181661.04,0
6667805,6741211,2399605.4,0
6667906,6741213,60329.78,0
