invid,pyid,debit,credit
6669442,,169765.4,0
6669441,6716274,1349201.33,0
6669440,,711964.48,0
6669292,,486910.06,0
6669294,6716276,215586.72,0
6669293,6716277,370973.73,0
6669291,6716278,67321.98,0
6669282,6716288,41863141.42,0
6669286,6716283,21365609.07,0
6669438,6716282,5764876.63,0
6669289,6716299,716777.94,0
6669285,6716279,256711.71,0
6669435,6716254,556482.22,0
6669284,6716280,179844.43,0
6669436,6716281,660792.03,0
6669433,6716284,2196774.86,0
6669429,6716285,1651434.63,0
6669281,6716287,2187542.27,0
6669432,6716255,1090195.61,0
6669431,6716290,469935.77,0
6669287,6716291,235674.85,0
6669430,6716292,108456.48,0
6669439,6716293,181661.04,0
6669280,6716294,212927.22,0
6669434,6716295,310921.93,0
6669437,6716304,481336.91,0
6669290,6716289,180903.92,0
6669424,6716305,1842517.56,0
6669420,6716302,8511802.92,0
6669268,6716296,15462308.38,0
6669427,6716310,25830030.82,0
6669417,6716313,5500528.08,0
6669270,6716306,1778129.89,0
6669425,6716307,3145993.59,0
6669275,6716311,208307.69,0
6669277,6716316,463320.71,0
6669423,6716318,360261.24,0
6669426,6716322,1374733.34,0
6669274,6716257,8069370.1,0
6669278,6716309,7136298.49,0
6669265,6716303,22379428.25,0
6669257,6716340,19700870.96,0
6669404,6716337,408809.94,0
6669412,6716338,1789587.26,0
6669408,,90730.36,0
6669253,6716342,236709.2,0
6669406,6716343,233229.15,0
6669256,6716344,21229.56,0
6669261,6716345,182851.65,0
6669252,6716350,808407.51,0
6669260,6716351,1457200.62,0
6667064,6716353,331171.87,0
6669248,6716325,344665.89,0
6669249,6716328,175691.55,0
6669266,6716331,796042.12,0
6669415,6716333,258182.84,0
6669255,6716334,619566.78,0
6669410,6716335,4121939.44,0
6669409,6716336,891757.86,0
6667066,6716323,21787633.77,0
6667067,6716354,5280506.95,0
6669259,6716357,4098797.08,0
6669251,6716356,2171826,0
6669250,,2214673.66,0
6667061,6716368,30053089.31,0
6669244,6716381,5571297.39,0
6669242,6716389,14785785.28,0
6669238,6716385,5347298.87,0
6667054,6716383,2804373.62,0
6669245,6716370,1796461.13,0
6667058,6716369,1796461.13,0
6669239,6716367,2144783.65,0
6667059,,1778129.89,0
6667056,6716359,565015.89,0
6667057,6716360,161173.52,0
6669240,6716361,251913.14,0
6669241,6716362,226849.05,0
6669246,6716366,298951.08,0
6669232,6716372,696358.23,0
6667052,6716373,534230.34,0
6667050,6716375,78031.8,0
6667060,6716374,77251.48,0
6669235,6716387,314380.7,0
6667049,6716377,226849.05,0
6667053,6716378,449115.28,0
6669234,6716379,81463.64,0
6669233,6716380,3262307.88,0
6669243,6716384,614821.46,0
6669229,6716391,2831088.12,0
6669225,6716393,81475.02,0
6669227,6716396,101098.8,0
6667047,6716400,862473.84,0
6669230,6716401,348196.21,0
6667041,6716402,548554.96,0
6667038,6716406,384103.15,0
