invid,pyid,debit,credit
6668920,,7553498.15,0
6668721,,8200940.85,0
6668727,6725215,8234058.65,0
6668934,6716216,2158047.37,0
6668730,6716204,480137.27,0
6668926,6716206,6474426.99,0
6668726,6716208,431511.57,0
6668925,6716209,322115.75,0
6668718,6716233,1744312.98,0
6668933,6716181,867323.64,0
6668737,6716182,987563.73,0
6668936,6716184,1078748.2,0
6668924,6716185,466056.17,0
6668732,6716234,3181834.01,0
6668931,6716187,52877.88,0
6668932,6716188,745398.84,0
6668734,6716189,187232.42,0
6668724,6716190,2238287.51,0
6668725,6716192,563426.5,0
6668723,6716193,143876.72,0
6668937,6716195,148765.32,0
6668918,6716194,1388198.42,0
6668722,6716196,216232.1,0
6668733,6716183,1744312.98,0
6656340,6736606,110400,0
6656341,6736607,297500,0
6656345,6716707,679500,0
6656347,6716710,447700,0
6668715,6716218,756462.26,0
6668916,6716219,607298.52,0
6668914,6716221,1731346.79,0
6668908,6716222,224782.6,0
6668712,6716223,314727.75,0
6668913,6716224,382768.25,0
6668911,6716225,628126.1,0
6668708,6716227,404608.68,0
6668710,6716229,359688.86,0
6668915,6716230,1218037.1,0
6668912,6716231,81477.99,0
6668909,6716232,1444867.44,0
6668709,6725221,648859.6,0
6668917,6716259,7720044,0
6656393,6716892,656000,0
6656394,6716918,627500,0
