invid,pyid,debit,credit
6670093,,39199681.71,0
6669970,6700436,26599384.13,0
6670095,6700426,10487031.47,0
6670087,6700435,10944928.31,0
6670098,6700425,8631076.11,0
6670096,6700457,795391.52,0
6669974,6700432,314775.45,0
6670099,6700431,415641.6,0
6670097,6700430,324067.59,0
6669975,6700429,71755.2,0
6669973,6700434,349186.74,0
6670092,6700438,12761282.74,0
6670094,6700437,2194764.13,0
6669971,6700450,1212611.26,0
6669972,6700439,85635,0
6670088,6700441,507587.33,0
6669969,6700440,406245.19,0
6669965,6700415,26888850.14,0
6669966,6700444,20688720.9,0
6669967,6700459,2200211.23,0
6669964,6700442,275523.93,0
6670090,6700445,1346053.52,0
6669977,6700446,326520.81,0
6670091,6700458,195156.53,0
6670089,6700427,15244320.66,0
6669959,6700452,28746433.25,0
6670084,6700454,25479793.11,0
6670083,6700467,34626385.51,0
6670085,6700455,27004225.18,0
6669960,6700447,23955361.04,0
6670082,6700460,8928816.39,0
6669958,6700461,93288.86,0
6669963,6700513,408286.62,0
6670080,6700462,3214316.26,0
6669956,6700463,436271.91,0
6669961,6700464,623931.7,0
6670086,6700465,195450.67,0
6669962,6700514,399477.4,0
6669957,6700448,5307986.9,0
6669947,6700510,29022530.95,0
6670077,6700758,19433764.11,0
6670074,6700475,21777600.95,0
6670068,6700536,4554128.78,0
6669945,6700466,7661449.82,0
6669955,6700473,4319416.13,0
6669949,6700474,2550738.11,0
6669954,6700482,5995791.14,0
6670075,6700485,8755942.65,0
6669952,6700449,4137744.18,0
6670069,6700486,5517421.6,0
6669948,6700468,135049.37,0
6669943,6700469,226825.9,0
6670072,6700472,136095.54,0
6670067,6700476,362958.47,0
6669951,6700477,136095.54,0
6669944,6700478,84770,0
6670066,6700479,100004.85,0
6670073,6700480,72914.54,0
6669946,6700481,847425.82,0
6669953,6700483,71037.65,0
6670076,6700484,130840.38,0
6670061,6700516,9799920.43,0
6670058,6700488,449022.7,0
6670062,6700517,178498.75,0
6669938,6700518,133128.94,0
6670060,6700492,132441.21,0
6669936,6700537,914257.3,0
6669942,6700506,628761.39,0
6669935,6700507,226825.9,0
6670064,6700508,408286.62,0
6670063,6700509,181479.24,0
6669941,6700519,81162.08,0
6669940,6700512,122384.58,0
6670050,6700456,20644976.58,0
6670056,6700520,8275488.36,0
6669933,6700522,7013920.23,0
6669934,6700523,182268.24,0
6669928,6700524,494026.81,0
6669932,6700525,118750.52,0
6670052,6700526,178911.37,0
6670054,6700527,177588.14,0
6669931,6700529,356341.85,0
6669927,6700530,220888.08,0
6669918,6700558,50538829.86,0
6670032,6700533,16144752.56,0
6669921,6700556,8275488.36,0
6670048,6700555,1532818.31,0
6669926,6700553,3118683.8,0
6669922,6700545,1741213.09,0
6670047,6700541,1134129.5,0
6669920,6700548,997708.08,0
6669925,6700539,890015.09,0
6670045,6700538,93291.66,0
6669917,,8711040.38,0
6670027,6700544,239648.2,0
6670049,6700584,205413.99,0
6670039,6700546,89804.54,0
6670041,6700547,134706.81,0
6670030,6700549,217929.16,0
6670037,6700550,325997.92,0
6670043,6700551,172834.76,0
6669919,6700552,119983.36,0
6669916,6700557,531987.68,0
6669909,6700562,21299106.25,0
6670414,6700588,31577521.38,0
6670022,6700578,26786449.17,0
6675491,6700587,17639856.77,0
6669910,6700535,13268568.91,0
6675590,6700581,11542128.5,0
6675490,6700579,7750713.3,0
6675589,6700577,8286344.08,0
