invid,pyid,debit,credit
6667802,6737317,556714.44,0
6667890,6737318,89922.21,0
6667889,6737320,50950.35,0
6667790,6737321,3299563.97,0
6667900,6737323,247401,0
6667892,6737329,328032.61,0
6667902,6737331,2047909.85,0
6667792,6737332,173990.29,0
6667903,6737336,50950.35,0
6667791,6737337,89922.21,0
6697306,6737350,325687.23,0
6697089,6737352,45188.18,0
6694992,6737354,120397.74,0
6697088,6737355,90376.37,0
6694990,6737357,176872.36,0
6697085,6737360,224782.6,0
6697082,6737363,134883.32,0
6697074,6737374,88734.69,0
6694984,6737375,175693.32,0
6694982,6737378,598756.02,0
6694978,6737382,131209.65,0
6697071,6737384,224805.54,0
6667831,6737386,8173196.06,0
6694976,6737387,425250,0
6697070,6737388,708750,0
6697064,6737392,42550.2,0
6694972,6737393,449611.07,0
6697065,6737395,519941.82,0
6694975,6737396,10790711.65,0
6694960,6737403,172734.41,0
6697057,6737405,576306.64,0
6694963,6737406,90093.36,0
6697059,6737412,60945.39,0
6697055,6737413,223000.19,0
6694961,6737416,10901956.1,0
6697061,6737420,1294885.4,0
6694954,6737421,119988467.9,0
6697048,6737422,133274,0
6694952,6737423,224805.54,0
6697047,6737424,202773.87,0
6697043,6737426,3964752.2,0
6697042,6737429,10790711.65,0
6694948,6737430,1101320.05,0
6694957,6737435,646269.12,0
6697046,6737437,10790711.65,0
6694944,6737443,54509780.5,0
6697041,6737447,210015.96,0
6694947,6737448,311422.85,0
6697039,6737449,868564.2,0
6697031,6737454,343719.11,0
6694939,6737462,178017.44,0
6697029,6737466,79382.16,0
6697022,6737467,307569.1,0
6697028,6737469,10901956.1,0
6697027,6737471,218897.49,0
6694931,6737472,179844.43,0
6697017,6737474,227076.3,0
6694928,6737475,121813.56,0
6694933,6737476,632805.19,0
6694925,6737485,10790711.65,0
6697019,6737486,2016367.52,0
6694932,6737487,1308234.73,0
6697625,6737492,64744269.9,0
6697016,6737494,263858.6,0
6697014,6737495,134883.32,0
6694917,6737496,224805.54,0
6694920,6737497,212668.96,0
6694923,6737498,455631.83,0
6697015,6737503,509667.4,0
6694918,6737504,122764.95,0
6697007,6737506,268160.16,0
6694913,6737508,178926.95,0
6694912,6737510,454126.39,0
6697008,6737511,228048.93,0
6697623,6737519,1227689.77,0
6697502,6737521,2628698.33,0
6697488,6737523,272491.56,0
6694942,6737524,21581423.3,0
6697612,6737530,129626.67,0
6697490,6737531,135564.55,0
6697495,6737538,2385862.47,0
6697617,6737540,355943.1,0
6697615,6737541,168510.55,0
6697610,6737545,179844.43,0
6697487,6737547,704769.77,0
6697620,6737552,227076.3,0
6697477,6737553,23800965.95,0
6696704,6737557,179844.43,0
6697478,6737558,134883.32,0
6697485,6737563,181661.04,0
6697465,6737567,21803912.2,0
6697473,6737576,53412,0
6696698,6737583,257317.41,0
6696694,6737584,153871.74,0
6696690,6737587,134044.36,0
6697467,6737588,6474426.99,0
6697470,6737590,3609821.75,0
6696685,6737594,134883.32,0
6697461,6737599,44961.11,0
6803598,6836920,10790711.65,0
6697456,6737614,166435.68,0
6696678,6737615,32372134.95,0
6697458,6737616,211511.52,0
6697455,6737617,203162.85,0
6696680,6737618,336986.72,0
6696677,6737619,65780.54,0
6696670,6737627,808996.44,0
6696669,6737630,223165.6,0
6697446,6737631,426573.82,0
6696675,6737632,179844.43,0
6696668,6737633,114381.59,0
6697452,6737634,2965332.06,0
6697440,6737635,4360782.44,0
6696681,6737636,5787348,0
6697445,6737638,134050.53,0
6696661,6737642,10790711.65,0
6696662,6737646,21581423.3,0
6696664,6737654,173316.96,0
6697428,6737656,21581423.3,0
6696645,6737657,10790711.65,0
6696652,6737661,21581423.3,0
6697429,6737662,75534981.55,0
6697426,6737663,21581423.3,0
6696650,6737664,686094.39,0
6696644,6737665,190940.14,0
6697424,6737668,449611.07,0
6697423,6737670,4709645.04,0
6696657,6737671,1308234.73,0
6697425,6737673,317906.82,0
6696653,6737677,376317.24,0
6697098,6737685,53953558.25,0
