invid,pyid,debit,credit
6697414,6724560,286807.64,0
6697413,6724566,50944.41,0
6696641,6724568,128658.71,0
6696634,6724571,77080.41,0
6696633,6724576,168510.55,0
6696637,6724578,269766.64,0
6696638,6724579,685755.79,0
6697099,6724589,404649.97,0
6697811,6724591,173407.13,0
6803806,6836922,7907935.19,0
6697810,6724598,347911.78,0
6667884,6724605,719304.32,0
6667789,6724606,445069.55,0
6667783,6724608,99819.06,0
6667788,6724611,140543.4,0
6667885,6724612,228774.14,0
6667785,6724613,45188.18,0
6667887,6724616,72410.58,0
6667886,6724619,170212.68,0
6668166,6724621,2086001.65,0
6668160,6724622,1605625,0
6668175,6724624,179844.43,0
6668282,6724628,87579.36,0
6667781,6724635,346778.88,0
6668281,6724636,21581423.3,0
6667880,6724637,784338.79,0
6668180,6724638,10790711.65,0
6668278,6724639,899883.35,0
6668181,6724640,1962352.1,0
6668182,6724645,355652.81,0
6668173,6724649,93952.98,0
6668168,6724664,756796.75,0
6668160,6724622,2436239,0
6668160,6724622,458750,0
6668160,6724622,2202000,0
6668152,6724670,361505.47,0
6668253,6724671,7055315.18,0
6668255,6724673,4555494.37,0
6668155,6724676,62726.01,0
6668257,6724677,267691.77,0
6668157,6724679,171155.16,0
6668256,6724680,404649.97,0
6668163,6724681,781152.44,0
6668164,6724686,177769.56,0
6668250,6724696,272491.56,0
6668150,6724697,5395355.82,0
6668154,6724698,43162846.6,0
6668270,6724700,10790711.65,0
6668124,6724702,2749627.61,0
6668226,6724703,13848397.84,0
6668143,6724708,1744312.98,0
6668241,6724712,538312.04,0
6668146,6724714,272491.56,0
6668140,6724715,674416.61,0
6668141,6724717,52877.88,0
6668147,6724718,104291.55,0
6668120,6724726,160743.26,0
6668231,6724727,2834508.59,0
6668232,6724729,1845179.96,0
6668128,6724732,4606138.31,0
6668222,6724736,500484.14,0
6668234,6724737,2180391.22,0
6668233,6724739,89922.21,0
6668224,6724741,210037.39,0
6668228,6724746,482897.23,0
6668126,6724747,283528.23,0
6668127,6724749,519349.11,0
6668214,6724752,6969557.75,0
6668217,6724754,922929.94,0
6668204,6724757,1090195.61,0
6668119,6724760,294075.46,0
6668114,6724761,210037.39,0
6668108,6724773,143622.92,0
6668110,6724774,234904.49,0
6668208,6724779,131915.84,0
6668116,6724780,1297785.12,0
6668215,6724782,179844.43,0
6668106,6724786,1967906.3,0
6668103,6724791,82452.15,0
6668095,6724793,210037.39,0
6668096,6724794,311773.73,0
6668194,6724795,266812.62,0
6668200,6724796,181661.04,0
6668195,6724797,765396.6,0
6668100,6724798,811174.86,0
6668199,6724799,45415.26,0
6668098,6724800,225698.41,0
6668102,6724803,5066902.91,0
6668094,6724812,2340257.29,0
6668091,6724818,1169003.92,0
6668192,6724819,2398430.34,0
6668593,6724822,414562.58,0
6668188,6724823,444665.94,0
6668092,6724824,291930.63,0
6668190,6724825,136245.78,0
6668590,6724828,1762112.09,0
6666551,6724831,26189030,0
6668139,6724832,3975849.33,0
6668801,6724835,2202640.11,0
6668582,6724836,1651155.18,0
6668587,6724837,3289490.36,0
6666557,6724841,443583.46,0
6668803,6724842,210015.96,0
6668802,6724846,2613290.47,0
6668798,6724847,210015.96,0
6668797,6724850,223692.05,0
6668589,6724851,1207120.88,0
6668577,6724852,510909.28,0
6668576,6724856,227076.3,0
6668580,6724857,80224.86,0
6668579,6724861,277244.81,0
6668799,6724862,499567.86,0
6666539,6724866,89997.75,0
6666548,6724867,899073.17,0
6666545,6724877,276083.39,0
6666547,6724880,234665.34,0
6666544,6724886,523408.68,0
6668561,6724887,758090.03,0
6668559,6724889,224805.54,0
6668571,6724893,263482.8,0
6666549,6724896,151696.94,0
6668574,6724899,423597.08,0
6666520,6724903,2902206.52,0
6666526,6724920,159721.02,0
6668544,6724921,1148898.23,0
6668540,6724927,59414.85,0
6668538,6724928,341488.09,0
6668536,6724929,3862247.84,0
6668532,6724936,335532.78,0
6666504,6724940,583585.84,0
6666501,6724941,153871.74,0
6666505,6724945,445069.55,0
6668535,6724946,284817.06,0
6666506,6724947,2710512.05,0
6668555,6724949,4086292.95,0
6668554,6724950,4360782.44,0
6666518,6724951,449182.77,0
6666521,6724959,719377.72,0
6668553,6724961,3024551.28,0
6666523,6724963,107371.92,0
6666496,6724988,137277.42,0
6668521,6724989,218943.76,0
6666490,6724993,161326.42,0
6666470,6725003,2424030,0
6668790,6725009,1922341.34,0
6668795,6725010,16186067.47,0
6668495,6725011,30870300,0
6666476,6725012,204735.05,0
6668513,6725015,419100.56,0
6668510,6725016,2202640.11,0
6666484,6725017,3924704.2,0
6666471,6725018,216318.95,0
6668512,6725019,562816.99,0
6666482,6725025,1635167.32,0
6668507,6725028,3872469.68,0
6668494,6725034,144404.01,0
6666467,6725035,549103.8,0
6668994,6725041,341810.86,0
6668497,6725042,453652.03,0
6666466,6725043,672792.59,0
6668496,6725047,610224.75,0
6668991,6725050,281588.61,0
6668995,6725051,525920.68,0
6668505,6725053,179844.43,0
6666469,6725056,85454730.3,0
6668773,6725057,24818636.79,0
