invid,pyid,debit,credit
6668767,6725060,8632569.32,0
6668961,6725061,642333.73,0
6668761,6725062,10543913.58,0
6668771,6725063,40452908.76,0
6668777,6725065,21581423.3,0
6668981,6725066,2671289.43,0
6668979,6725067,32511568.8,0
6668778,6725074,299499.94,0
6668781,6725075,506066.79,0
6668775,6725189,1299012.21,0
6668967,6725191,497097.9,0
6668990,6725196,281831.68,0
6668962,6725201,269766.64,0
6668964,6725203,280432.09,0
6668965,6725205,302591.17,0
6668757,6725207,4346458.8,0
6668753,6725208,2616469.46,0
6668959,6725209,1870410.88,0
6668756,6725210,3942635.36,0
6668943,6725212,19027063.28,0
6668714,6725220,15446289.89,0
6668709,6725221,648859.6,0
