invid,pyid,debit,credit
6670103,6700416,467636.4,0
6669980,6700417,362921.44,0
6669915,6700543,583729.51,0
6675511,6700745,755705.2,0
6669929,6700532,635112.52,0
6670065,6700493,243514.32,0
6675559,6700656,622345.46,0
6670016,6700585,768870.76,0
6669968,6700443,582741.72,0
6675450,6700659,488223.26,0
6670223,6700394,288485.57,0
6669939,6700490,1110811.02,0
6670078,6700471,433312.99,0
6675442,6700690,14155440.62,0
6670101,6700418,181479.24,0
6669931,6700529,356341.85,0
6669923,6700540,193053.28,0
6670079,6700451,27875329.22,0
6670059,6700489,662296.6,0
6670057,6700491,359941.26,0
6669910,6700535,13268568.91,0
6675458,6700654,175521.92,0
6669959,6700452,28746433.25,0
6669908,6700565,224511.35,0
6675416,6700736,377831.16,0
6675509,6700748,446072.93,0
6670071,6700743,14883471.4,0
6670034,6700554,424573.44,0
6670053,6700531,356641.6,0
6670415,6700561,401637.32,0
6669924,6700542,214463.12,0
6669937,6700487,24893226.64,0
6675588,6700580,5472464.16,0
6675560,6700655,183102.22,0
6675524,6700698,411554.92,0
6669976,6700433,448899.66,0
6669930,6700521,12201896.99,0
6670081,6700453,17426514.34,0
6675473,6700629,176659.31,0
6675408,6700744,453651.8,0
6670070,6700470,305311.16,0
6670107,6700404,453651.8,0
6670051,6700528,272191.08,0
6675530,6700711,272191.08,0
6675517,6700732,179609.08,0
6675551,6700638,22866481,0
6670050,6700456,20644976.58,0
6669990,6700407,408328.28,0
6675531,6700697,190162.14,0
6670025,6700575,6851511.41,0
6670018,6700569,239355.12,0
6675569,6700631,103652.64,0
6670087,6700435,10944928.31,0
6670083,6700467,34626385.51,0
6670074,6700475,21777600.95,0
6670064,6700508,408286.62,0
6675417,6700733,28498802.49,0
6669918,6700558,50538829.86,0
6669935,6700507,226825.9,0
6675455,6700667,226825.9,0
6675538,6700686,226825.9,0
6675436,6700672,589807.52,0
6675440,6700707,33358376.92,0
6675579,6700600,16561875.17,0
6675570,6700628,131757.04,0
6669961,6700464,623931.7,0
6675429,6700665,12413232.54,0
6675507,6700747,130962.3,0
6670041,6700547,134706.81,0
6675432,6700703,25262017.1,0
6675515,6700738,25262017.1,0
6675581,6700597,11796322.99,0
6670213,6700396,314914.18,0
6669985,6700400,214029.06,0
6675585,6700594,374662.83,0
6675589,6700577,8286344.08,0
6675441,6700683,250442.99,0
6669962,6700514,399477.4,0
6670037,6700550,325997.92,0
6669984,6700395,426679.26,0
6675482,6700620,362921.44,0
6675508,6700755,2913354.5,0
6670086,6700465,195450.67,0
6675578,6700592,681363.7,0
6669988,6691586,540703.53,0
6675454,6700759,6938882.52,0
6675527,6700717,8711040.38,0
6669940,6700515,104686.58,0
6670013,6700573,307673.97,0
6675467,6700649,425475.39,0
6669974,6700432,314775.45,0
6670066,6700479,100004.85,0
6669912,6700568,732653.32,0
6675409,6700754,5709038.79,0
6670063,6700509,181479.24,0
6670062,6700517,178498.75,0
6669973,6700434,349186.74,0
6669920,6700548,997708.08,0
6675528,6700714,5500528.08,0
6675542,6700685,699763.12,0
6675426,6700692,71145.36,0
6675474,6700630,451375.25,0
6675457,6700657,743010.6,0
6675431,6700699,317556.26,0
6669951,6700477,136095.54,0
6670039,6700546,89804.54,0
6670100,6700424,1391970.37,0
6670067,6700476,362958.47,0
6675415,6700740,1628869.5,0
6675580,6700622,550465.02,0
