invid,pyid,debit,credit
6669965,6700415,26888850.14,0
6675471,6700626,368079.33,0
6675461,6700642,13348145.59,0
6670089,6700427,15244320.66,0
6670054,6700527,177588.14,0
6675534,6700718,18293184.8,0
6670097,6700430,324067.59,0
6675466,6700651,9853801.07,0
6669927,6700530,220888.08,0
6675445,6700675,226849.05,0
6670084,6700454,25479793.11,0
6669916,6700557,531987.68,0
6670088,6700441,507587.33,0
6675555,6700652,188591.82,0
6675547,6700678,179609.08,0
6670030,6700549,217929.16,0
6675424,6700700,64432.17,0
6675490,6700579,7750713.3,0
6669979,6700422,1196782.46,0
6670414,6700588,31577521.38,0
6675468,6700645,246493.52,0
6670043,6700551,172834.76,0
6675483,6700603,67854.28,0
6675556,6700658,461106.66,0
6669955,6700473,4319416.13,0
6675493,6700572,90739.62,0
6675472,6700637,5599283.67,0
6675501,6700757,10749441.84,0
6669978,6700420,363730.92,0
6675584,6700598,13809891.33,0
6670096,6700457,795391.52,0
6675523,6700695,644475.72,0
6675484,6700599,8928816.39,0
6669919,6700552,119983.36,0
6675428,6700730,5691362.72,0
6675449,6700676,140149.17,0
6675537,6700688,774472.25,0
6675476,6700634,117512.56,0
6675546,6700687,29111554.2,0
6675575,6700636,70433.91,0
6670020,6700566,107706.13,0
6669972,6700439,85635,0
6675567,6700647,42385,0
6669966,6700444,20688720.9,0
6675469,6700623,172821.03,0
6669943,6700469,226825.9,0
6675478,6700604,226825.9,0
6675541,6700671,226825.9,0
6675533,6700702,19307427.95,0
6675488,6700567,232468.94,0
6669911,6700570,92349.32,0
6669964,6700442,275523.93,0
6675554,6700653,256532.64,0
6669975,6700429,71755.2,0
6670106,6700408,277748.58,0
6675535,6700715,966685.51,0
6675446,6700689,17567115.79,0
